Date,Time,"Solar Radiation (Solar Radiation 21114835:21105866-1),W/m²,Greenwich PEINP","Wind Direction (Wind Direction 21114835:21135207-3),°,Greenwich PEINP","Rain (Rain 21114835:21038371-1),mm,Greenwich PEINP","Dew Point (Dew Point 21114835:21648577-3),°C,Greenwich PEINP","RH (RH 21114835:21648577-2),%,Greenwich PEINP","Temperature (Temperature 21114835:21648577-1),°C,Greenwich PEINP","Wind gust speed (Wind gust speed 21114835:21135207-2),Km/h,Greenwich PEINP","Average wind speed (Average wind speed 21114835:21135207-1),Km/h,Greenwich PEINP","Accumulated Rain (Accumulated Rain 21114835:21038371-2),mm,Greenwich PEINP"
11/01/2025,00:00:00 -0400,0.625,221.81960784313725,0,10.08046791386731,89.19508659494927,11.788573202079476,22.843217414407167,14.427295209099267,
11/01/2025,00:05:00 -0400,0.625,224.62745098039215,0,10.035890499091819,88.92957961394674,11.788573202079476,25.247766615923712,13.225020608340992,
11/01/2025,00:10:00 -0400,0.625,223.2235294117647,0,10.0580021154832,89.18745708400093,11.767125297296666,18.03411901137408,12.02274600758272,
11/01/2025,00:15:00 -0400,0.625,223.2235294117647,0,10.085525209572692,89.09895475700009,11.810021106862287,22.843217414407167,13.225020608340992,
11/01/2025,00:20:00 -0400,0.625,217.6078431372549,0,9.996448273379142,88.4443427176318,11.831469011645098,25.247766615923712,13.225020608340992,
11/01/2025,00:25:00 -0400,0.625,216.20392156862744,0,9.988426435473105,88.52216372930495,11.810021106862287,28.854590418198534,14.427295209099267,
11/01/2025,00:30:00 -0400,0.625,217.6078431372549,0,10.040897814066163,88.83344777599756,11.810021106862287,25.247766615923712,14.427295209099267,
11/01/2025,00:35:00 -0400,0.625,219.01176470588237,0,10.047555339380596,89.25154497596705,11.745677392513862,26.450041216681985,15.629569809857536,
11/01/2025,00:40:00 -0400,0.625,223.2235294117647,0,10.10138080979218,90.98191805905242,11.509750439902959,26.450041216681985,15.629569809857536,
11/01/2025,00:45:00 -0400,0.625,223.2235294117647,0,10.097190995181784,91.08567940794995,11.488302535120148,24.04549201516544,16.83184441061581,
11/01/2025,00:50:00 -0400,0.625,220.41568627450982,0,10.02725419198832,90.40360112916763,11.53119834468577,26.450041216681985,18.03411901137408,
11/01/2025,00:55:00 -0400,0.625,226.0313725490196,0,10.009009276705774,90.55008773937591,11.488302535120148,26.450041216681985,16.83184441061581,
11/01/2025,01:00:00 -0400,0.625,223.2235294117647,0,9.992739634554244,91.09636072327764,11.381063011206102,28.854590418198534,14.427295209099267,
11/01/2025,01:05:00 -0400,0.625,220.41568627450982,0,9.948706264447573,90.9575036240177,11.359615106423291,25.247766615923712,14.427295209099267,
11/01/2025,01:10:00 -0400,0.625,224.62745098039215,0,9.856907055179487,90.52872510872054,11.338167201640488,25.247766615923712,15.629569809857536,
11/01/2025,01:15:00 -0400,0.625,226.0313725490196,0,9.88428990298783,90.30899519340811,11.402510915988913,27.652315817440257,16.83184441061581,
11/01/2025,01:20:00 -0400,0.625,221.81960784313725,0,9.788269619229364,89.60250247959107,11.423958820771723,28.854590418198534,16.83184441061581,
11/01/2025,01:25:00 -0400,0.625,220.41568627450982,0,9.823330401040332,88.92500190737773,11.574094154251384,32.461414220473344,18.03411901137408,
11/01/2025,01:30:00 -0400,0.625,223.2235294117647,0,9.874820609778334,88.85328450446326,11.638437868599816,26.450041216681985,18.03411901137408,
11/01/2025,01:35:00 -0400,0.625,226.0313725490196,0,9.826609306569788,88.06591897459373,11.724229487731051,32.461414220473344,18.03411901137408,
11/01/2025,01:40:00 -0400,0.625,227.43529411764703,0,9.910621996236305,88.68848706797894,11.70278158294824,27.652315817440257,18.03411901137408,
11/01/2025,01:45:00 -0400,0.625,231.64705882352942,0,9.99165333967821,89.29732204165714,11.68133367816543,33.66368882123162,22.843217414407167,
11/01/2025,01:50:00 -0400,0.625,231.64705882352942,0,9.859999856456064,90.93461509117266,11.273823487292056,32.461414220473344,21.640942813648895,
11/01/2025,01:55:00 -0400,0.625,235.85882352941175,0,9.6496504027543,89.53383688105593,11.295271392074866,43.28188562729779,26.450041216681985,
11/01/2025,02:00:00 -0400,0.625,234.45490196078433,0,9.661016864188378,89.34767681391624,11.338167201640488,40.87733642578125,25.247766615923712,
11/01/2025,02:05:00 -0400,0.625,230.24313725490197,0,9.474697518846856,89.24696726939804,11.16658396337801,38.47278722426471,20.438668212890626,
11/01/2025,02:10:00 -0400,0.625,231.64705882352942,0,9.33301424729594,87.64934767681392,11.295271392074866,37.270512623506434,26.450041216681985,
11/01/2025,02:15:00 -0400,0.625,235.85882352941175,0,9.218934401317512,87.47539482719158,11.20947977294363,36.06823802274816,24.04549201516544,
11/01/2025,02:20:00 -0400,0.625,233.05098039215687,0,9.16449939518259,87.03135728999771,11.230927677726442,42.079611026539524,25.247766615923712,
11/01/2025,02:25:00 -0400,0.625,234.45490196078433,0,9.093058308762235,86.98405432211796,11.16658396337801,36.06823802274816,24.04549201516544,
11/01/2025,02:30:00 -0400,0.625,237.2627450980392,0,9.00789819355247,86.36301213092241,11.18803186816082,38.47278722426471,28.854590418198534,
11/01/2025,02:35:00 -0400,0.625,235.85882352941175,0,8.828110360702105,85.44289311055161,11.16658396337801,44.48416022805607,30.056865018956803,
11/01/2025,02:40:00 -0400,0.625,233.05098039215687,0,8.963728210557102,86.22873273823149,11.16658396337801,37.270512623506434,25.247766615923712,
11/01/2025,02:45:00 -0400,0.625,235.85882352941175,0,9.07039931574022,86.8513008316167,11.16658396337801,44.48416022805607,27.652315817440257,
11/01/2025,02:50:00 -0400,0.625,235.85882352941175,0,9.060615524982383,87.4143587396048,11.059344439463963,33.66368882123162,22.843217414407167,
11/01/2025,02:55:00 -0400,0.625,237.2627450980392,0,8.925185545002279,86.74296177615015,11.037896534681153,40.87733642578125,26.450041216681985,
11/01/2025,03:00:00 -0400,0.625,230.24313725490197,0,9.03102122339933,87.4891279468986,11.016448629898349,37.270512623506434,20.438668212890626,
11/01/2025,03:05:00 -0400,0.625,231.64705882352942,0,9.082081208729136,88.04150453955901,10.973552820332728,37.270512623506434,21.640942813648895,
11/01/2025,03:10:00 -0400,0.625,227.43529411764703,0,9.069767051467455,88.47180895704585,10.887761201201492,34.86596342198989,25.247766615923712,
11/01/2025,03:15:00 -0400,0.625,230.24313725490197,0,8.976659500416732,88.42145418478675,10.801969582070257,38.47278722426471,25.247766615923712,
11/01/2025,03:20:00 -0400,0.625,233.05098039215687,0,8.994058922076666,88.77851529716945,10.759073772504635,40.87733642578125,26.450041216681985,
11/01/2025,03:25:00 -0400,0.625,235.85882352941175,0,8.858220227399368,88.22003509575036,10.716177962939021,45.686434828814335,27.652315817440257,
11/01/2025,03:30:00 -0400,0.625,233.05098039215687,0,8.634992661773898,86.28061341268025,10.82341748685306,37.270512623506434,25.247766615923712,
11/01/2025,03:35:00 -0400,0.625,235.85882352941175,0,8.575651259222264,85.32387273975738,10.930657010767106,44.48416022805607,27.652315817440257,
11/01/2025,03:40:00 -0400,0.625,234.45490196078433,0,8.632159113571767,86.01815823605708,10.866313296418681,34.86596342198989,22.843217414407167,
11/01/2025,03:45:00 -0400,0.625,233.05098039215687,0,8.57358646167618,85.43373769741359,10.909209105984303,39.67506182502298,24.04549201516544,
11/01/2025,03:50:00 -0400,0.625,234.45490196078433,0,8.601247099847171,85.71602960250247,10.887761201201492,37.270512623506434,24.04549201516544,
11/01/2025,03:55:00 -0400,0.625,231.64705882352942,0,8.528781515638538,85.66262302586404,10.82341748685306,33.66368882123162,21.640942813648895,
11/01/2025,04:00:00 -0400,0.625,230.24313725490197,0,8.29780053896124,84.45258258945601,10.801969582070257,39.67506182502298,27.652315817440257,
11/01/2025,04:05:00 -0400,0.625,235.85882352941175,0,8.197011674184111,83.63775082017243,10.84486539163587,39.67506182502298,26.450041216681985,
11/01/2025,04:10:00 -0400,0.625,231.64705882352942,0,8.345468262387143,84.60517280842298,10.82341748685306,37.270512623506434,21.640942813648895,
11/01/2025,04:15:00 -0400,0.625,228.83921568627449,0,8.449478291620796,85.56954299229419,10.759073772504635,32.461414220473344,19.236393612132353,
11/01/2025,04:20:00 -0400,0.625,233.05098039215687,0,8.35450376023987,85.75265125505454,10.630386343807778,34.86596342198989,21.640942813648895,
11/01/2025,04:25:00 -0400,0.625,233.05098039215687,0,8.39539338647179,85.99069199664302,10.630386343807778,39.67506182502298,22.843217414407167,
11/01/2025,04:30:00 -0400,0.625,233.05098039215687,0,8.259521763748268,85.32387273975738,10.608938439024975,32.461414220473344,22.843217414407167,
11/01/2025,04:35:00 -0400,0.625,233.05098039215687,0,8.320863589427436,85.19111924925612,10.69473005815621,33.66368882123162,22.843217414407167,
11/01/2025,04:40:00 -0400,0.625,234.45490196078433,0,8.176045707044652,84.3579766536965,10.69473005815621,36.06823802274816,24.04549201516544,
11/01/2025,04:45:00 -0400,0.625,234.45490196078433,0,8.3606927358551,84.93476768139162,10.780521677287446,42.079611026539524,26.450041216681985,
11/01/2025,04:50:00 -0400,0.625,234.45490196078433,0,8.266628559357049,84.39459830624857,10.780521677287446,34.86596342198989,25.247766615923712,
11/01/2025,04:55:00 -0400,0.625,231.64705882352942,0,8.344040778486777,85.93728542000457,10.587490534242164,38.47278722426471,22.843217414407167,
11/01/2025,05:00:00 -0400,0.625,231.64705882352942,0,8.40024672611882,85.89608606088349,10.651834248590589,39.67506182502298,26.450041216681985,
11/01/2025,05:05:00 -0400,0.625,233.05098039215687,0,8.258467537651066,85.3177691309987,10.608938439024975,40.87733642578125,26.450041216681985,
11/01/2025,05:10:00 -0400,0.625,230.24313725490197,0,8.190250585378942,86.27145799954224,10.373011486414072,46.888709429572614,25.247766615923712,
11/01/2025,05:15:00 -0400,0.625,234.45490196078433,0,8.233501491672081,86.77347981994355,10.33011567684845,40.87733642578125,25.247766615923712,
11/01/2025,05:20:00 -0400,0.625,233.05098039215687,0,8.030581792882629,85.34065766384374,10.373011486414072,46.888709429572614,27.652315817440257,
11/01/2025,05:25:00 -0400,0.625,233.05098039215687,0,8.095156381866904,85.71602960250247,10.373011486414072,43.28188562729779,26.450041216681985,
11/01/2025,05:30:00 -0400,0.625,235.85882352941175,0,7.816697871656614,84.22827496757458,10.351563581631261,43.28188562729779,27.652315817440257,
11/01/2025,05:35:00 -0400,0.625,234.45490196078433,0,7.840244330979549,83.76134889753567,10.458803105545307,48.09098403033088,32.461414220473344,
11/01/2025,05:40:00 -0400,0.625,235.85882352941175,0,7.927341567670995,85.23079270618753,10.287219867282836,37.270512623506434,25.247766615923712,
11/01/2025,05:45:00 -0400,0.625,235.85882352941175,0,8.292571562102399,89.40260929274434,9.944053390757887,33.66368882123162,22.843217414407167,
11/01/2025,05:50:00 -0400,0.625,241.4745098039216,0,7.667523236403647,89.59792477302206,9.279168342490792,50.495533231847425,31.25913961971507,
11/01/2025,05:55:00 -0400,0.625,240.0705882352941,0,7.605252772904182,91.04448004882887,8.978897675531464,45.686434828814335,28.854590418198534,
11/01/2025,06:00:00 -0400,0.625,241.4745098039216,0,7.626196515794695,91.83794918745708,8.871658151617417,46.888709429572614,30.056865018956803,
11/01/2025,06:05:00 -0400,0.625,241.4745098039216,0,7.722155010267346,92.57495994506752,8.850210246834607,36.06823802274816,26.450041216681985,
11/01/2025,06:10:00 -0400,0.625,238.66666666666666,0,7.620994075891393,90.6157015335317,9.0646892946627,40.87733642578125,28.854590418198534,
11/01/2025,06:15:00 -0400,0.625,238.66666666666666,0,7.704330230821827,91.00022888532845,9.08613719944551,32.461414220473344,24.04549201516544,
11/01/2025,06:20:00 -0400,0.625,237.2627450980392,0,7.66302546601723,90.22049286640727,9.171928818576745,33.66368882123162,22.843217414407167,
11/01/2025,06:25:00 -0400,0.625,235.85882352941175,0,7.711673900563682,89.86800946059358,9.279168342490792,32.461414220473344,22.843217414407167,
11/01/2025,06:30:00 -0400,0.625,240.0705882352941,0,7.607720037164184,88.84718089570458,9.343512056839216,31.25913961971507,22.843217414407167,
11/01/2025,06:35:00 -0400,0.625,237.2627450980392,0,7.658407709894824,88.76935988403143,9.407855771187648,32.461414220473344,22.843217414407167,
11/01/2025,06:40:00 -0400,0.625,235.85882352941175,0,7.590092559829883,88.22919050888838,9.429303675970466,37.270512623506434,24.04549201516544,
11/01/2025,06:45:00 -0400,0.625,238.66666666666666,0,7.65233321690508,88.60456244754711,9.429303675970466,36.06823802274816,25.247766615923712,
11/01/2025,06:50:00 -0400,0.625,237.2627450980392,0,7.5659941130512385,88.08422980086976,9.429303675970466,37.270512623506434,26.450041216681985,
11/01/2025,06:55:00 -0400,0.625,238.66666666666666,0,7.539860179190991,87.80041199359121,9.450751580753277,33.66368882123162,25.247766615923712,
11/01/2025,07:00:00 -0400,0.625,237.2627450980392,0,7.416552048348391,86.68802929732205,9.515095295101702,34.86596342198989,25.247766615923712,
11/01/2025,07:05:00 -0400,4.375,240.0705882352941,0,7.618458622822234,88.40009155413138,9.429303675970466,34.86596342198989,24.04549201516544,
11/01/2025,07:10:00 -0400,15.625,240.0705882352941,0,7.659900451378517,90.33188372625315,9.150480913793935,43.28188562729779,27.652315817440257,
11/01/2025,07:15:00 -0400,13.125,240.0705882352941,0,7.634707871799157,91.22758831158923,8.978897675531464,37.270512623506434,26.450041216681985,
11/01/2025,07:20:00 -0400,13.125,240.0705882352941,0,7.876982926106759,93.15022507057297,8.914553961183032,39.67506182502298,26.450041216681985,
11/01/2025,07:25:00 -0400,15.625,238.66666666666666,0,7.707851249075729,93.29365987640192,8.72152281813775,37.270512623506434,25.247766615923712,
11/01/2025,07:30:00 -0400,19.375,240.0705882352941,0,7.903474533863592,93.86129549095902,8.828762342051796,33.66368882123162,22.843217414407167,
11/01/2025,07:35:00 -0400,15.625,242.87843137254904,0.200048828125,7.759367592079,93.48592355230029,8.74297072292056,33.66368882123162,21.640942813648895,
