Date,Time,Temperature_C,Barometric_Pressure_kPa,Solar_Radiation_Wm2
2023-02-13,00:00:00,-1.93,101.598,1
2023-02-13,00:05:00,-1.73,101.611,1
2023-02-13,00:10:00,-1.9,101.622,1
2023-02-13,00:15:00,-1.96,101.62,1
2023-02-13,00:20:00,-1.99,101.622,1
2023-02-13,00:25:00,-2.02,101.619,1
2023-02-13,00:30:00,-1.93,101.614,1
2023-02-13,00:35:00,-1.76,101.617,1
2023-02-13,00:40:00,-1.84,101.617,1
2023-02-13,00:45:00,-1.99,101.612,1
2023-02-13,00:50:00,-1.76,101.609,1
2023-02-13,00:55:00,-2.13,101.597,1
2023-02-13,01:00:00,-2.36,101.593,1
2023-02-13,01:05:00,-2.57,101.592,1
2023-02-13,01:10:00,-2.57,101.584,1
2023-02-13,01:15:00,-2.68,101.585,1
2023-02-13,01:20:00,-2.92,101.582,1
2023-02-13,01:25:00,-3.27,101.577,1
2023-02-13,01:30:00,-2.77,101.572,1
2023-02-13,01:35:00,-2.86,101.565,1
2023-02-13,01:40:00,-3.36,101.581,1
2023-02-13,01:45:00,-3.63,101.57,1
2023-02-13,01:50:00,-4.11,101.576,1
2023-02-13,01:55:00,-3.99,101.58,1
2023-02-13,02:00:00,-4.59,101.573,1
2023-02-13,02:05:00,-4.47,101.578,1
2023-02-13,02:10:00,-4.47,101.596,1
2023-02-13,02:15:00,-4.38,101.596,1
2023-02-13,02:20:00,-4.59,101.592,1
2023-02-13,02:25:00,-4.44,101.6,1
2023-02-13,02:30:00,-4.41,101.609,1
2023-02-13,02:35:00,-4.17,101.586,1
2023-02-13,02:40:00,-3.69,101.584,1
2023-02-13,02:45:00,-3.06,101.587,1
2023-02-13,02:50:00,-2.3,101.584,1
2023-02-13,02:55:00,-2.62,101.58,1
2023-02-13,03:00:00,-2.22,101.58,1
2023-02-13,03:05:00,-2.8,101.57,1
2023-02-13,03:10:00,-2.39,101.566,1
2023-02-13,03:15:00,-2.42,101.561,1
2023-02-13,03:20:00,-2.33,101.585,1
2023-02-13,03:25:00,-2.33,101.582,1
2023-02-13,03:30:00,-2.3,101.581,1
2023-02-13,03:35:00,-2.54,101.584,1
2023-02-13,03:40:00,-2.71,101.583,1
2023-02-13,03:45:00,-2.77,101.593,1
2023-02-13,03:50:00,-3.93,101.59,1
2023-02-13,03:55:00,-3.21,101.592,1
