Date,Time,Temperature_C,Barometric_Pressure_kPa,Solar_Radiation_Wm2
2023-01-13,00:00:00,-8.33,102.976,1
2023-01-13,00:05:00,-8.2,102.951,1
2023-01-13,00:10:00,-8.0,102.948,1
2023-01-13,00:15:00,-7.74,102.942,1
2023-01-13,00:20:00,-7.67,102.934,1
2023-01-13,00:25:00,-7.61,102.927,1
2023-01-13,00:30:00,-7.61,102.919,1
2023-01-13,00:35:00,-7.8,102.908,1
2023-01-13,00:40:00,-7.67,102.895,1
2023-01-13,00:45:00,-7.61,102.872,1
2023-01-13,00:50:00,-7.41,102.861,1
2023-01-13,00:55:00,-6.96,102.852,1
2023-01-13,01:00:00,-7.15,102.844,1
2023-01-13,01:05:00,-7.09,102.836,1
2023-01-13,01:10:00,-7.22,102.833,1
2023-01-13,01:15:00,-6.93,102.82,1
2023-01-13,01:20:00,-6.99,102.816,1
2023-01-13,01:25:00,-7.03,102.808,1
2023-01-13,01:30:00,-7.03,102.803,1
2023-01-13,01:35:00,-7.22,102.79,1
2023-01-13,01:40:00,-6.87,102.78,1
2023-01-13,01:45:00,-6.67,102.782,1
2023-01-13,01:50:00,-6.67,102.781,1
2023-01-13,01:55:00,-6.93,102.781,1
2023-01-13,02:00:00,-7.15,102.78,1
2023-01-13,02:05:00,-7.09,102.801,1
2023-01-13,02:10:00,-6.99,102.806,1
2023-01-13,02:15:00,-6.96,102.816,1
2023-01-13,02:20:00,-6.58,102.815,1
2023-01-13,02:25:00,-6.45,102.805,1
2023-01-13,02:30:00,-6.39,102.802,1
2023-01-13,02:35:00,-6.26,102.805,1
2023-01-13,02:40:00,-6.2,102.806,1
2023-01-13,02:45:00,-6.07,102.792,1
2023-01-13,02:50:00,-5.92,102.784,1
2023-01-13,02:55:00,-5.76,102.771,1
2023-01-13,03:00:00,-5.73,102.769,1
2023-01-13,03:05:00,-5.57,102.761,1
2023-01-13,03:10:00,-5.51,102.757,1
2023-01-13,03:15:00,-5.42,102.747,1
2023-01-13,03:20:00,-5.23,102.744,1
2023-01-13,03:25:00,-5.08,102.741,1
2023-01-13,03:30:00,-4.9,102.736,1
2023-01-13,03:35:00,-4.77,102.723,1
2023-01-13,03:40:00,-4.59,102.719,1
2023-01-13,03:45:00,-4.26,102.729,1
2023-01-13,03:50:00,-4.35,102.72,1
2023-01-13,03:55:00,-4.35,102.719,1
2023-01-13,04:00:00,-4.14,102.716,1
2023-01-13,04:05:00,-4.17,102.719,1
2023-01-13,04:10:00,-4.11,102.723,1
2023-01-13,04:15:00,-4.2,102.718,1
2023-01-13,04:20:00,-4.23,102.703,1
2023-01-13,04:25:00,-4.23,102.703,1
2023-01-13,04:30:00,-4.11,102.705,1
2023-01-13,04:35:00,-4.17,102.709,1
2023-01-13,04:40:00,-4.14,102.721,1
2023-01-13,04:45:00,-4.11,102.705,1
2023-01-13,04:50:00,-4.05,102.699,1
2023-01-13,04:55:00,-3.93,102.696,1
2023-01-13,05:00:00,-3.93,102.672,1
2023-01-13,05:05:00,-3.87,102.673,1
2023-01-13,05:10:00,-3.81,102.674,1
2023-01-13,05:15:00,-3.72,102.668,1
2023-01-13,05:20:00,-3.57,102.662,1
2023-01-13,05:25:00,-3.36,102.649,1
2023-01-13,05:30:00,-3.3,102.642,1
2023-01-13,05:35:00,-3.21,102.633,1
2023-01-13,05:40:00,-3.21,102.623,1
2023-01-13,05:45:00,-3.36,102.615,1
2023-01-13,05:50:00,-3.15,102.61,1
2023-01-13,05:55:00,-3.42,102.604,1
2023-01-13,06:00:00,-3.21,102.599,1
2023-01-13,06:05:00,-3.18,102.577,1
2023-01-13,06:10:00,-3.33,102.568,1
2023-01-13,06:15:00,-3.12,102.559,1
2023-01-13,06:20:00,-3.15,102.546,1
2023-01-13,06:25:00,-3.06,102.536,1
2023-01-13,06:30:00,-3.15,102.538,1
2023-01-13,06:35:00,-3.15,102.508,1
2023-01-13,06:40:00,-3.15,102.499,1
2023-01-13,06:45:00,-3.15,102.486,1
2023-01-13,06:50:00,-3.27,102.483,1
2023-01-13,06:55:00,-3.15,102.478,1
2023-01-13,07:00:00,-3.09,102.47,1
2023-01-13,07:05:00,-3.21,102.464,1
2023-01-13,07:10:00,-3.04,102.455,1
2023-01-13,07:15:00,-3.09,102.447,1
2023-01-13,07:20:00,-3.15,102.431,1
2023-01-13,07:25:00,-3.27,102.428,1
2023-01-13,07:30:00,-3.15,102.421,1
2023-01-13,07:35:00,-3.15,102.407,1
2023-01-13,07:40:00,-3.09,102.401,1
2023-01-13,07:45:00,-3.04,102.384,1
2023-01-13,07:50:00,-2.83,102.371,1
2023-01-13,07:55:00,-2.74,102.37,1
2023-01-13,08:00:00,-2.68,102.354,1
2023-01-13,08:05:00,-2.6,102.348,1
2023-01-13,08:10:00,-2.54,102.35,1
2023-01-13,08:15:00,-2.45,102.34,1
2023-01-13,08:20:00,-2.36,102.336,1
2023-01-13,08:25:00,-2.3,102.309,1
2023-01-13,08:30:00,-2.28,102.296,1
2023-01-13,08:35:00,-2.22,102.295,1
2023-01-13,08:40:00,-2.19,102.297,1
2023-01-13,08:45:00,-2.02,102.27,1
2023-01-13,08:50:00,-1.93,102.255,1
2023-01-13,08:55:00,-1.96,102.238,1
2023-01-13,09:00:00,-1.93,102.242,1
2023-01-13,09:05:00,-1.96,102.22,1
2023-01-13,09:10:00,-1.87,102.218,1
2023-01-13,09:15:00,-1.9,102.232,1
2023-01-13,09:20:00,-1.96,102.226,1
2023-01-13,09:25:00,-2.04,102.214,1
2023-01-13,09:30:00,-2.16,102.221,2
2023-01-13,09:35:00,-2.33,102.207,2
2023-01-13,09:40:00,-2.39,102.191,2
2023-01-13,09:45:00,-2.42,102.186,3
2023-01-13,09:50:00,-2.36,102.172,3
2023-01-13,09:55:00,-2.33,102.149,4
2023-01-13,10:00:00,-2.36,102.13,6
2023-01-13,10:05:00,-2.33,102.107,7
2023-01-13,10:10:00,-2.28,102.099,8
2023-01-13,10:15:00,-2.19,102.088,9
2023-01-13,10:20:00,-2.16,102.076,11
2023-01-13,10:25:00,-2.13,102.057,11
2023-01-13,10:30:00,-2.07,102.053,12
2023-01-13,10:35:00,-2.04,102.032,12
2023-01-13,10:40:00,-1.99,102.025,13
2023-01-13,10:45:00,-1.9,102.006,14
2023-01-13,10:50:00,-1.81,101.992,16
2023-01-13,10:55:00,-1.73,101.974,16
2023-01-13,11:00:00,-1.64,101.961,14
2023-01-13,11:05:00,-1.56,101.93,16
2023-01-13,11:10:00,-1.47,101.911,17
2023-01-13,11:15:00,-1.38,101.887,19
2023-01-13,11:20:00,-1.3,101.866,21
2023-01-13,11:25:00,-1.18,101.845,24
2023-01-13,11:30:00,-1.13,101.81,21
2023-01-13,11:35:00,-1.01,101.788,18
2023-01-13,11:40:00,-0.93,101.763,17
2023-01-13,11:45:00,-0.85,101.71,19
2023-01-13,11:50:00,-0.73,101.674,22
2023-01-13,11:55:00,-0.62,101.601,27
2023-01-13,12:00:00,-0.65,101.572,27
2023-01-13,12:05:00,-0.56,101.541,24
2023-01-13,12:10:00,-0.45,101.523,29
2023-01-13,12:15:00,-0.31,101.506,29
2023-01-13,12:20:00,-0.26,101.474,27
2023-01-13,12:25:00,-0.2,101.465,32
2023-01-13,12:30:00,-0.09,101.422,29
2023-01-13,12:35:00,0.16,101.407,33
2023-01-13,12:40:00,0.19,101.39,29
2023-01-13,12:45:00,0.41,101.357,28
2023-01-13,12:50:00,0.49,101.313,26
2023-01-13,12:55:00,0.63,101.311,27
2023-01-13,13:00:00,0.6,101.304,27
2023-01-13,13:05:00,0.66,101.296,29
2023-01-13,13:10:00,0.69,101.264,33
2023-01-13,13:15:00,0.8,101.244,29
2023-01-13,13:20:00,0.85,101.241,28
2023-01-13,13:25:00,0.88,101.202,29
2023-01-13,13:30:00,0.96,101.184,24
2023-01-13,13:35:00,1.1,101.175,29
2023-01-13,13:40:00,1.13,101.127,36
2023-01-13,13:45:00,1.02,101.058,41
2023-01-13,13:50:00,1.13,101.067,39
2023-01-13,13:55:00,1.23,101.034,31
2023-01-13,14:00:00,1.56,101.002,42
2023-01-13,14:05:00,1.59,100.984,39
2023-01-13,14:10:00,1.75,100.937,36
2023-01-13,14:15:00,1.78,100.917,39
2023-01-13,14:20:00,2.21,100.888,31
2023-01-13,14:25:00,2.37,100.893,31
2023-01-13,14:30:00,2.69,100.864,38
2023-01-13,14:35:00,2.8,100.852,31
2023-01-13,14:40:00,2.69,100.834,33
2023-01-13,14:45:00,2.96,100.809,41
