Hmdx,Visibility (km),Wind Chill,_quality_flags,air_temperature_c,barometric_pressure_kpa,bui,carry_forward_used,dc,dew_point_c,dmc,ffmc,fwi,isi,rain_mm,relative_humidity_pct,source_file,station,timestamp_utc,wind_direction_deg,wind_speed_kmh
,,,,1.1,,10.564207905980073,False,16.152,0.2,4.200319905980071,54.650584270748034,5.575392157938383e-08,0.013251220674039207,2.4,94.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-01 15:00:00+00:00,13.0,22.0
,,,,2.9,,7.828269717502453,False,13.616589531498864,-4.6,2.463333442091901,51.62899218965771,1.8765228446672696e-08,0.006670416975859589,3.9,58.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-02 15:00:00+00:00,30.0,26.0
,,,,4.6,,9.359495157502453,False,15.398589531498864,-8.0,3.292450882091901,71.204608447037,7.1225486764332e-05,0.44597684980042646,0.0,40.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-03 15:00:00+00:00,25.0,17.0
,,,,4.2,,10.405853141502455,False,17.108589531498865,-0.5,3.665068866091901,75.32756310379594,0.00018592653223457675,0.7593526739327188,0.0,71.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-04 15:00:00+00:00,7.0,7.0
,,-4.0,,-1.0,,10.721233717502454,False,17.882589531498866,-8.3,3.675493442091901,78.62632955682889,0.0006316825311639622,1.4212125633300916,0.0,57.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-05 15:00:00+00:00,33.0,9.0
,,,,2.9,,8.451566749950736,False,16.34602375897166,0.1,2.0112333889159,51.951212838530935,1.4982376158918266e-08,0.006166565936506667,3.3000000000000003,82.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-06 15:00:00+00:00,19.0,19.0
,,,,1.4,,9.011581949950735,False,17.55202375897166,-0.7,2.0960845889159003,59.4460182974881,5.213663890465141e-07,0.0374737432789627,0.0,86.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-07 15:00:00+00:00,32.0,17.0
,,,,0.7,,9.664018301950737,False,18.632023758971663,-9.1,2.3230009409159003,71.43659526394141,5.971795435401363e-05,0.4147617308650671,0.0,48.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-08 15:00:00+00:00,33.0,12.0
,,,,1.3,,10.440463805950735,False,19.82002375897166,-8.8,2.6313744449159002,78.00697097220277,0.0005242739011251432,1.2772778382947911,0.0,47.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-09 15:00:00+00:00,32.0,9.0
,,,,14.1,,14.801134589950736,False,23.312023758971662,-8.9,5.616197228915901,89.35535489751926,0.021539294022165933,9.915610404181946,0.0,19.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-10 15:00:00+00:00,27.0,19.0
,,,,17.4,,19.236563549950738,False,27.39802375897166,2.7,8.441742188915901,89.35535489751926,0.017187043229822743,10.390483340279319,0.0,37.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-11 15:00:00+00:00,23.0,21.0
,,,,3.7,,20.061031325950736,False,29.018023758971662,1.2,8.627929964915902,71.24838192203443,3.199306404809986e-05,0.46037643564076985,1.5,84.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-12 15:00:00+00:00,30.0,18.0
,,,,8.1,,21.99272406195074,False,31.43002375897166,-0.2,9.609294700915902,77.72693280770055,0.0001571260297684533,1.0824048379660793,0.0,56.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-13 15:00:00+00:00,3.0,4.0
,,,,3.9,,23.04520086195074,False,33.08602375897166,-1.6,10.009307500915902,79.79350217972696,0.00045719475086572866,1.9035369349162587,0.0,67.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-14 15:00:00+00:00,35.0,13.0
,,,,4.9,,24.19041654195074,False,34.92202375897166,0.1,10.431139180915903,80.55326361152503,0.0005535244377303812,2.1624457130879198,0.0,71.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-15 15:00:00+00:00,7.0,13.0
,,,,6.5,,25.469468509950737,False,37.046023758971664,2.6,10.873335148915903,80.57183140447209,0.0005201210043935323,2.1691581583031123,0.0,76.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-16 15:00:00+00:00,9.0,13.0
,,,,5.7,,26.529839901950737,False,39.02602375897166,3.0,11.153586540915903,80.37906510213998,0.0005834313847699255,2.3609710391660084,0.0,83.0,/mnt/fast_data/workspaces/pea-met-network/data/raw/eccc/stanhope/stanhope_hourly_2023_04.csv,stanhope,2023-04-17 15:00:00+00:00,8.0,18.0
