Date,Time,Temperature_C,Barometric_Pressure_kPa,Solar_Radiation_Wm2
2022-12-13,00:00:00,-2.42,101.85,1
2022-12-13,00:05:00,-2.42,101.835,1
2022-12-13,00:10:00,-2.45,101.837,1
2022-12-13,00:15:00,-2.45,101.823,1
2022-12-13,00:20:00,-2.45,101.817,1
2022-12-13,00:25:00,-2.45,101.806,1
2022-12-13,00:30:00,-2.45,101.799,1
2022-12-13,00:35:00,-2.39,101.775,1
2022-12-13,00:40:00,-2.39,101.777,1
2022-12-13,00:45:00,-2.39,101.776,1
2022-12-13,00:50:00,-2.39,101.766,1
2022-12-13,00:55:00,-2.39,101.747,1
2022-12-13,01:00:00,-2.39,101.754,1
2022-12-13,01:05:00,-2.45,101.748,1
2022-12-13,01:10:00,-2.45,101.742,1
2022-12-13,01:15:00,-2.39,101.736,1
2022-12-13,01:20:00,-2.51,101.719,1
2022-12-13,01:25:00,-2.45,101.705,1
2022-12-13,01:30:00,-2.48,101.689,1
2022-12-13,01:35:00,-2.51,101.696,1
2022-12-13,01:40:00,-2.48,101.695,1
2022-12-13,01:45:00,-2.45,101.677,1
2022-12-13,01:50:00,-2.45,101.676,1
2022-12-13,01:55:00,-2.45,101.673,1
2022-12-13,02:00:00,-2.42,101.67,1
2022-12-13,02:05:00,-2.36,101.672,1
2022-12-13,02:10:00,-2.3,101.66,1
2022-12-13,02:15:00,-2.28,101.658,1
2022-12-13,02:20:00,-2.3,101.654,1
2022-12-13,02:25:00,-2.25,101.635,1
2022-12-13,02:30:00,-2.19,101.624,1
2022-12-13,02:35:00,-2.16,101.64,1
2022-12-13,02:40:00,-2.25,101.628,1
2022-12-13,02:45:00,-2.22,101.633,1
2022-12-13,02:50:00,-2.13,101.619,1
2022-12-13,02:55:00,-2.16,101.618,1
2022-12-13,03:00:00,-2.13,101.628,1
2022-12-13,03:05:00,-2.13,101.62,1
2022-12-13,03:10:00,-2.07,101.624,1
2022-12-13,03:15:00,-2.04,101.607,1
2022-12-13,03:20:00,-2.04,101.616,1
2022-12-13,03:25:00,-2.02,101.614,1
2022-12-13,03:30:00,-1.99,101.612,1
2022-12-13,03:35:00,-1.93,101.613,1
2022-12-13,03:40:00,-1.9,101.621,1
2022-12-13,03:45:00,-1.9,101.605,1
2022-12-13,03:50:00,-1.84,101.614,1
2022-12-13,03:55:00,-1.87,101.605,1
2022-12-13,04:00:00,-1.87,101.61,1
2022-12-13,04:05:00,-1.87,101.6,1
2022-12-13,04:10:00,-1.84,101.6,1
2022-12-13,04:15:00,-1.81,101.59,1
2022-12-13,04:20:00,-1.78,101.588,1
2022-12-13,04:25:00,-1.76,101.598,1
2022-12-13,04:30:00,-1.76,101.585,1
2022-12-13,04:35:00,-1.64,101.584,1
2022-12-13,04:40:00,-1.76,101.58,1
2022-12-13,04:45:00,-1.64,101.569,1
2022-12-13,04:50:00,-1.61,101.569,1
2022-12-13,04:55:00,-1.61,101.566,1
2022-12-13,05:00:00,-1.58,101.553,1
2022-12-13,05:05:00,-1.58,101.56,1
2022-12-13,05:10:00,-1.56,101.553,1
2022-12-13,05:15:00,-1.53,101.542,1
2022-12-13,05:20:00,-1.56,101.538,1
2022-12-13,05:25:00,-1.53,101.529,1
2022-12-13,05:30:00,-1.56,101.53,1
2022-12-13,05:35:00,-1.53,101.541,1
2022-12-13,05:40:00,-1.58,101.537,1
2022-12-13,05:45:00,-1.56,101.527,1
2022-12-13,05:50:00,-1.53,101.532,1
2022-12-13,05:55:00,-1.47,101.536,1
2022-12-13,06:00:00,-1.53,101.546,1
2022-12-13,06:05:00,-1.53,101.531,1
2022-12-13,06:10:00,-1.47,101.523,1
2022-12-13,06:15:00,-1.44,101.518,1
2022-12-13,06:20:00,-1.44,101.509,1
2022-12-13,06:25:00,-1.41,101.51,1
2022-12-13,06:30:00,-1.47,101.517,1
2022-12-13,06:35:00,-1.41,101.516,1
2022-12-13,06:40:00,-1.33,101.519,1
2022-12-13,06:45:00,-1.24,101.524,1
2022-12-13,06:50:00,-1.36,101.509,1
2022-12-13,06:55:00,-1.33,101.51,1
2022-12-13,07:00:00,-1.18,101.503,1
2022-12-13,07:05:00,-1.18,101.496,1
2022-12-13,07:10:00,-1.13,101.49,1
2022-12-13,07:15:00,-1.16,101.488,1
2022-12-13,07:20:00,-1.13,101.492,1
2022-12-13,07:25:00,-1.07,101.482,1
2022-12-13,07:30:00,-1.1,101.477,1
2022-12-13,07:35:00,-1.07,101.474,1
2022-12-13,07:40:00,-1.1,101.47,1
2022-12-13,07:45:00,-1.07,101.47,1
2022-12-13,07:50:00,-1.07,101.458,1
2022-12-13,07:55:00,-1.04,101.452,1
2022-12-13,08:00:00,-1.01,101.444,1
2022-12-13,08:05:00,-0.99,101.443,1
2022-12-13,08:10:00,-0.9,101.439,1
2022-12-13,08:15:00,-0.79,101.455,1
