station,timestamp_utc,air_temperature_c,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,relative_humidity_pct,dew_point_c
greenwich,2023-10-01 03:00:00+00:00,,0.0,1.0,4.248583333333333,170,1.9166666666666667,4.25,100.0,10.438416666666667
greenwich,2023-10-01 04:00:00+00:00,,0.0,1.0,4.24575,170,1.3333333333333333,3.3333333333333335,100.0,10.012166666666667
greenwich,2023-10-01 05:00:00+00:00,,0.0,1.0,4.241666666666666,168,0.3333333333333333,0.9166666666666666,100.0,9.7475
greenwich,2023-10-01 06:00:00+00:00,,0.0,1.0,4.239333333333334,168,0.25,1.0,100.0,9.25675
greenwich,2023-10-01 07:00:00+00:00,,0.0,1.0,4.236416666666667,168,1.1666666666666667,3.1666666666666665,100.0,8.766333333333334
greenwich,2023-10-01 08:00:00+00:00,,0.0,1.0,4.234583333333333,163,0.8333333333333334,2.3333333333333335,100.0,8.295416666666666
greenwich,2023-10-01 09:00:00+00:00,,0.0,1.0,4.2325,163,0.6666666666666666,2.0,100.0,8.26325
greenwich,2023-10-01 10:00:00+00:00,,0.0,15.333333333333334,4.26525,154,1.0,2.75,100.0,8.408166666666666
greenwich,2023-10-01 11:00:00+00:00,,0.0,85.58333333333333,4.312333333333333,173,1.25,3.0833333333333335,100.0,9.865499999999999
greenwich,2023-10-01 12:00:00+00:00,,0.0,195.5,4.313416666666667,150,1.9166666666666667,4.166666666666667,100.0,12.160583333333333
greenwich,2023-10-01 13:00:00+00:00,,0.0,329.6666666666667,4.3155833333333335,157,1.8333333333333333,4.25,98.07358333333333,14.86025
greenwich,2023-10-01 14:00:00+00:00,,0.0,437.0,4.31275,233,4.833333333333333,7.583333333333333,86.88033333333334,15.590083333333332
greenwich,2023-10-01 15:00:00+00:00,,0.0,539.3333333333334,4.312666666666667,247,6.083333333333333,11.25,75.83516666666667,15.4495
greenwich,2023-10-01 16:00:00+00:00,,0.0,561.1666666666666,4.310583333333334,282,5.333333333333333,9.916666666666666,69.53375,14.779666666666666
greenwich,2023-10-01 17:00:00+00:00,,0.0,498.8333333333333,4.3116666666666665,340,6.083333333333333,10.833333333333334,61.69325,13.634416666666667
greenwich,2023-10-01 18:00:00+00:00,,0.0,393.75,4.315833333333333,350,4.166666666666667,8.083333333333334,61.674416666666666,14.429833333333333
greenwich,2023-10-01 19:00:00+00:00,,0.0,269.0833333333333,4.31675,330,3.75,6.333333333333333,64.05591666666666,14.634833333333333
greenwich,2023-10-01 20:00:00+00:00,,0.0,123.5,4.316333333333334,1,1.25,3.75,70.08683333333333,14.851333333333335
greenwich,2023-10-01 21:00:00+00:00,,0.0,25.25,4.301666666666667,296,1.25,2.8333333333333335,82.71508333333334,14.454333333333333
greenwich,2023-10-01 22:00:00+00:00,,0.0,1.0,4.283666666666667,357,1.6666666666666667,4.833333333333333,92.27891666666666,14.306583333333334
greenwich,2023-10-01 23:00:00+00:00,,0.0,1.0,4.272666666666667,37,4.666666666666667,8.25,93.62366666666667,14.104416666666665
greenwich,2023-10-02 00:00:00+00:00,,0.0,1.0,4.265,39,5.416666666666667,10.666666666666666,90.06358333333333,13.359833333333334
greenwich,2023-10-02 01:00:00+00:00,,0.0,1.0,4.259416666666667,38,4.083333333333333,9.166666666666666,88.613,12.98825
greenwich,2023-10-02 02:00:00+00:00,,0.0,1.0,4.2556666666666665,44,3.5833333333333335,8.25,85.5505,12.373166666666668
greenwich,2023-10-02 03:00:00+00:00,,0.0,1.0,4.2523333333333335,17,4.5,10.583333333333334,81.448,11.927083333333334
greenwich,2023-10-02 04:00:00+00:00,,0.0,1.0,4.249833333333333,17,4.166666666666667,9.583333333333334,84.03291666666667,11.920499999999999
greenwich,2023-10-02 05:00:00+00:00,,0.0,1.0,4.247083333333333,27,5.416666666666667,11.083333333333334,87.51025,12.42275
greenwich,2023-10-02 06:00:00+00:00,,0.0,1.0,4.2452499999999995,32,6.333333333333333,14.333333333333334,88.22366666666666,12.522416666666667
greenwich,2023-10-02 07:00:00+00:00,,0.0,1.0,4.24275,35,8.75,18.166666666666668,88.01266666666668,12.549416666666666
greenwich,2023-10-02 08:00:00+00:00,,0.0,1.0,4.24125,37,9.083333333333334,17.416666666666668,88.32841666666667,12.420833333333334
greenwich,2023-10-02 09:00:00+00:00,,0.0,1.0,4.240166666666666,49,8.75,16.25,86.27725,11.9325
greenwich,2023-10-02 10:00:00+00:00,,0.0,16.583333333333332,4.273416666666667,44,7.916666666666667,14.666666666666666,84.99308333333333,11.709166666666667
greenwich,2023-10-02 11:00:00+00:00,,0.0,196.5,4.31675,48,6.166666666666667,12.0,80.3445,12.498333333333333
greenwich,2023-10-02 12:00:00+00:00,,0.0,360.5833333333333,4.313,35,6.0,12.916666666666666,76.56833333333333,12.7935
greenwich,2023-10-02 13:00:00+00:00,,0.0,490.9166666666667,4.31175,39,5.75,10.75,75.30149999999999,13.015833333333333
greenwich,2023-10-02 14:00:00+00:00,,0.0,581.8333333333334,4.31025,27,5.75,11.416666666666666,74.95991666666667,12.854666666666667
greenwich,2023-10-02 15:00:00+00:00,,0.0,623.5,4.313083333333333,344,6.0,11.5,74.13283333333334,12.913166666666667
greenwich,2023-10-02 16:00:00+00:00,,0.0,616.1666666666666,4.316416666666666,334,6.166666666666667,11.75,71.50099999999999,12.483083333333333
greenwich,2023-10-02 17:00:00+00:00,,0.0,555.5,4.316833333333333,303,6.083333333333333,11.583333333333334,65.92625,12.069
greenwich,2023-10-02 18:00:00+00:00,,0.0,448.75,4.31975,317,6.666666666666667,12.0,63.99658333333333,11.599583333333333
greenwich,2023-10-02 19:00:00+00:00,,0.0,314.0833333333333,4.320416666666667,319,4.166666666666667,8.416666666666666,48.976499999999994,8.517083333333334
greenwich,2023-10-02 20:00:00+00:00,,0.0,163.0,4.31975,295,2.0,5.5,51.74533333333333,9.41775
greenwich,2023-10-02 21:00:00+00:00,,0.0,18.0,4.303166666666667,275,0.08333333333333333,0.5,70.45516666666667,9.8855
greenwich,2023-10-02 22:00:00+00:00,,0.0,1.0,4.2843333333333335,275,0.25,1.1666666666666667,87.08416666666666,10.200083333333334
greenwich,2023-10-02 23:00:00+00:00,,0.0,1.0,4.272916666666666,275,0.5833333333333334,2.0,90.25366666666667,9.606416666666666
greenwich,2023-10-03 00:00:00+00:00,,0.0,1.0,4.2645,202,2.75,4.75,90.42658333333333,9.500083333333334
greenwich,2023-10-03 01:00:00+00:00,,0.0,1.0,4.257333333333333,181,4.0,6.916666666666667,83.767,8.72325
greenwich,2023-10-03 02:00:00+00:00,,0.0,1.0,4.25275,195,3.1666666666666665,5.75,81.11583333333333,8.690333333333333
greenwich,2023-10-03 03:00:00+00:00,,0.0,1.0,4.249,233,5.833333333333333,9.833333333333334,82.995,10.655916666666666
greenwich,2023-10-03 04:00:00+00:00,,0.0,1.0,4.247333333333334,233,6.333333333333333,10.666666666666666,85.44216666666667,11.110083333333334
greenwich,2023-10-03 05:00:00+00:00,,0.0,1.0,4.245583333333333,241,5.333333333333333,8.0,87.8515,11.465916666666667
greenwich,2023-10-03 06:00:00+00:00,,0.0,1.0,4.244,240,2.75,5.583333333333333,90.75641666666667,11.468499999999999
greenwich,2023-10-03 07:00:00+00:00,,0.0,1.0,4.242583333333333,239,7.666666666666667,11.25,87.51458333333333,11.827083333333334
greenwich,2023-10-03 08:00:00+00:00,,0.0,1.0,4.240833333333334,237,10.416666666666666,16.75,86.43091666666668,11.971833333333334
greenwich,2023-10-03 09:00:00+00:00,,0.0,1.0,4.239833333333333,232,12.5,19.75,85.69308333333333,12.530416666666667
greenwich,2023-10-03 10:00:00+00:00,,0.0,16.083333333333332,4.263333333333333,233,14.583333333333334,22.5,78.88658333333333,12.191250000000002
greenwich,2023-10-03 11:00:00+00:00,,0.0,83.25,4.31,236,13.666666666666666,20.416666666666668,76.94833333333334,12.167499999999999
greenwich,2023-10-03 12:00:00+00:00,,0.0,173.58333333333334,4.31475,243,10.333333333333334,18.416666666666668,74.51825000000001,12.413499999999999
greenwich,2023-10-03 13:00:00+00:00,,0.0,292.3333333333333,4.3115,241,7.25,16.5,67.56066666666668,13.166333333333334
greenwich,2023-10-03 14:00:00+00:00,,0.0,445.6666666666667,4.312083333333334,277,7.416666666666667,17.833333333333332,66.0785,14.242416666666665
greenwich,2023-10-03 15:00:00+00:00,,0.0,372.1666666666667,4.317916666666666,278,8.0,19.583333333333332,65.42058333333334,15.004249999999999
greenwich,2023-10-03 16:00:00+00:00,,0.0,228.91666666666666,4.315916666666666,264,6.916666666666667,17.583333333333332,70.1075,15.373249999999999
greenwich,2023-10-03 17:00:00+00:00,,0.0,195.58333333333334,4.3155,299,7.166666666666667,16.166666666666668,73.45208333333333,15.6385
greenwich,2023-10-03 18:00:00+00:00,,0.0,136.41666666666666,4.307916666666666,296,7.583333333333333,16.166666666666668,77.38933333333334,15.52875
greenwich,2023-10-03 19:00:00+00:00,,0.0,80.0,4.306,338,8.416666666666666,18.0,84.35616666666667,14.854916666666668
greenwich,2023-10-03 20:00:00+00:00,,0.0,134.66666666666666,4.313666666666667,350,10.5,22.083333333333332,82.26633333333334,13.317833333333333
greenwich,2023-10-03 21:00:00+00:00,,0.0,14.583333333333334,4.302416666666667,13,9.166666666666666,20.583333333333332,90.79991666666666,12.725999999999999
greenwich,2023-10-03 22:00:00+00:00,,0.0,1.0,4.280083333333333,14,8.75,18.25,90.40316666666666,12.796
greenwich,2023-10-03 23:00:00+00:00,,0.0,1.0,4.270833333333333,28,10.25,21.583333333333332,88.56575,11.981666666666667
greenwich,2023-10-04 00:00:00+00:00,,0.0,1.0,4.2644166666666665,32,11.083333333333334,22.166666666666668,86.49083333333333,11.2825
greenwich,2023-10-04 01:00:00+00:00,,0.0,1.0,4.259916666666666,31,11.833333333333334,22.0,87.19083333333333,10.846416666666668
greenwich,2023-10-04 02:00:00+00:00,,0.0,1.0,4.256083333333334,46,11.583333333333334,21.0,85.46241666666667,10.019583333333333
greenwich,2023-10-04 03:00:00+00:00,,0.0,1.0,4.252083333333333,46,11.25,21.25,83.61058333333334,9.570583333333333
greenwich,2023-10-04 04:00:00+00:00,,0.0,1.0,4.248833333333334,45,9.416666666666666,17.166666666666668,82.60875,9.304666666666666
greenwich,2023-10-04 05:00:00+00:00,,0.0,1.0,4.24625,55,6.583333333333333,12.833333333333334,80.28033333333333,8.85275
greenwich,2023-10-04 06:00:00+00:00,,0.0,1.0,4.243666666666667,48,6.083333333333333,11.583333333333334,76.708,8.316583333333334
greenwich,2023-10-04 07:00:00+00:00,,0.0,1.0,4.242,49,4.666666666666667,9.416666666666666,77.28566666666667,7.891666666666667
greenwich,2023-10-04 08:00:00+00:00,,0.0,1.0,4.240583333333333,49,5.5,11.166666666666666,76.93616666666667,7.96625
greenwich,2023-10-04 09:00:00+00:00,,0.0,1.0,4.239249999999999,41,4.916666666666667,9.916666666666666,78.77766666666666,7.944416666666666
greenwich,2023-10-04 10:00:00+00:00,,0.0,12.083333333333334,4.270166666666666,41,3.3333333333333335,6.666666666666667,79.61075,7.8429166666666665
greenwich,2023-10-04 11:00:00+00:00,,0.0,162.91666666666666,4.313666666666667,63,4.416666666666667,8.416666666666666,73.30783333333333,8.485083333333334
greenwich,2023-10-04 12:00:00+00:00,,0.0,315.25,4.315,38,5.5,10.25,67.34116666666667,8.765500000000001
greenwich,2023-10-04 13:00:00+00:00,,0.0,331.75,4.31025,24,5.166666666666667,10.583333333333334,67.63933333333334,8.729333333333333
greenwich,2023-10-04 14:00:00+00:00,,0.0,563.9166666666666,4.3101666666666665,3,5.75,11.583333333333334,65.78133333333334,9.054416666666667
greenwich,2023-10-04 15:00:00+00:00,,0.0,600.4166666666666,4.311333333333334,49,6.5,13.0,64.60466666666666,8.98025
greenwich,2023-10-04 16:00:00+00:00,,0.0,560.4166666666666,4.31475,29,6.083333333333333,11.25,65.29833333333333,9.278583333333334
greenwich,2023-10-04 17:00:00+00:00,,0.0,500.5,4.317166666666666,37,5.75,11.333333333333334,64.35875,9.38325
greenwich,2023-10-04 18:00:00+00:00,,0.0,414.75,4.3189166666666665,15,5.5,10.333333333333334,63.67391666666666,9.474916666666667
greenwich,2023-10-04 19:00:00+00:00,,0.0,293.5,4.320666666666667,24,6.166666666666667,11.0,66.89016666666667,9.6325
greenwich,2023-10-04 20:00:00+00:00,,0.0,142.58333333333334,4.320166666666666,60,6.083333333333333,11.0,71.94025,9.636000000000001
greenwich,2023-10-04 21:00:00+00:00,,0.0,23.25,4.304833333333334,55,3.5833333333333335,6.75,79.86775,9.188833333333333
greenwich,2023-10-04 22:00:00+00:00,,0.0,1.0,4.284,67,2.0833333333333335,4.75,84.47091666666667,8.996833333333333
greenwich,2023-10-04 23:00:00+00:00,,0.0,1.0,4.270416666666667,80,1.4166666666666667,4.75,86.14341666666667,9.195
greenwich,2023-10-05 00:00:00+00:00,,0.0,1.0,4.2629166666666665,143,1.9166666666666667,5.916666666666667,87.11725,8.976333333333333
greenwich,2023-10-05 01:00:00+00:00,,0.0,1.0,4.256666666666667,136,3.3333333333333335,6.833333333333333,88.94208333333334,8.987
greenwich,2023-10-05 02:00:00+00:00,,0.0,1.0,4.251916666666667,87,2.5,6.25,87.6965,9.3175
greenwich,2023-10-05 03:00:00+00:00,,0.0,1.0,4.24825,136,3.4166666666666665,6.666666666666667,88.16758333333333,9.641083333333333
greenwich,2023-10-05 04:00:00+00:00,,0.0,1.0,4.24575,159,3.8333333333333335,7.583333333333333,87.4335,9.897083333333333
greenwich,2023-10-05 05:00:00+00:00,,0.0,1.0,4.243916666666666,171,5.166666666666667,10.25,87.56258333333334,10.212916666666667
greenwich,2023-10-05 06:00:00+00:00,,0.0,1.0,4.242333333333334,159,4.5,8.75,88.13808333333333,10.584583333333333
greenwich,2023-10-05 07:00:00+00:00,,0.0,1.0,4.240166666666666,145,4.583333333333333,8.083333333333334,88.35025,10.948583333333334
greenwich,2023-10-05 08:00:00+00:00,,0.0,1.0,4.239333333333334,168,4.5,7.666666666666667,89.94058333333334,11.34825
greenwich,2023-10-05 09:00:00+00:00,,0.0,1.0,4.237833333333334,166,4.25,8.0,91.18025,11.736166666666668
greenwich,2023-10-05 10:00:00+00:00,,0.0,2.1666666666666665,4.240916666666666,157,4.083333333333333,6.916666666666667,91.94808333333333,11.905583333333333
greenwich,2023-10-05 11:00:00+00:00,,0.0,26.833333333333332,4.285666666666667,184,3.8333333333333335,6.916666666666667,91.98416666666667,12.5175
greenwich,2023-10-05 12:00:00+00:00,,0.0,62.75,4.307166666666666,206,4.416666666666667,7.333333333333333,90.599,13.58475
greenwich,2023-10-05 13:00:00+00:00,,0.0,175.33333333333334,4.31825,191,6.166666666666667,10.916666666666666,86.26558333333332,14.66275
greenwich,2023-10-05 14:00:00+00:00,,0.0,438.25,4.312583333333333,219,11.416666666666666,17.75,80.39775,15.673083333333333
greenwich,2023-10-05 15:00:00+00:00,,0.0,564.0833333333334,4.3140833333333335,236,13.583333333333334,21.166666666666668,75.40691666666667,16.402083333333334
greenwich,2023-10-05 16:00:00+00:00,,0.0,539.75,4.311833333333333,239,12.25,20.666666666666668,70.93249999999999,16.3645
greenwich,2023-10-05 17:00:00+00:00,,0.0,419.8333333333333,4.316583333333333,218,13.916666666666666,21.333333333333332,69.23675,15.946083333333334
greenwich,2023-10-05 18:00:00+00:00,,0.0,403.5,4.317666666666667,230,13.416666666666666,20.416666666666668,67.43216666666667,16.373416666666667
greenwich,2023-10-05 19:00:00+00:00,,0.0,277.0,4.32025,223,14.166666666666666,23.0,68.28716666666666,16.585416666666667
greenwich,2023-10-05 20:00:00+00:00,,0.0,134.58333333333334,4.319583333333333,225,11.583333333333334,19.416666666666668,72.75758333333333,16.903333333333332
greenwich,2023-10-05 21:00:00+00:00,,0.0,13.166666666666666,4.302083333333333,215,6.416666666666667,11.416666666666666,82.38208333333334,16.53408333333333
greenwich,2023-10-05 22:00:00+00:00,,0.0,1.0,4.283666666666666,216,4.916666666666667,8.75,87.86033333333334,15.958416666666666
greenwich,2023-10-05 23:00:00+00:00,,0.0,1.0,4.274583333333333,212,6.666666666666667,11.666666666666666,89.38733333333333,15.9395
greenwich,2023-10-06 00:00:00+00:00,,0.0,1.0,4.26825,211,7.5,13.166666666666666,90.76308333333333,16.002416666666665
greenwich,2023-10-06 01:00:00+00:00,,0.0,1.0,4.26325,227,10.416666666666666,17.666666666666668,91.17966666666666,15.803083333333333
greenwich,2023-10-06 02:00:00+00:00,,0.0,1.0,4.259333333333333,219,10.666666666666666,17.916666666666668,92.467,15.647
greenwich,2023-10-06 03:00:00+00:00,,0.0,1.0,4.255833333333333,232,13.833333333333334,22.166666666666668,93.72741666666667,15.540333333333335
greenwich,2023-10-06 04:00:00+00:00,,0.0,1.0,4.252666666666666,230,10.333333333333334,16.583333333333332,95.66491666666667,15.3215
greenwich,2023-10-06 05:00:00+00:00,,0.0,1.0,4.249916666666667,232,13.0,20.5,95.56666666666666,15.284416666666667
greenwich,2023-10-06 06:00:00+00:00,,0.0,1.0,4.24775,229,12.5,20.75,95.98708333333333,15.085416666666667
greenwich,2023-10-06 07:00:00+00:00,,0.0,1.0,4.245916666666667,230,10.583333333333334,17.75,96.61258333333335,14.725083333333332
greenwich,2023-10-06 08:00:00+00:00,,0.0,1.0,4.244,227,8.583333333333334,14.583333333333334,96.38408333333332,14.49225
greenwich,2023-10-06 09:00:00+00:00,,0.0,1.0,4.24225,234,12.0,18.833333333333332,94.31775,14.223916666666668
greenwich,2023-10-06 10:00:00+00:00,,0.0,19.916666666666668,4.277916666666667,234,13.0,19.5,91.5785,13.948333333333332
greenwich,2023-10-06 11:00:00+00:00,,0.0,166.16666666666666,4.3155,237,14.333333333333334,22.333333333333332,88.03191666666667,14.174583333333333
greenwich,2023-10-06 12:00:00+00:00,,0.0,321.8333333333333,4.314166666666667,240,13.833333333333334,21.25,80.34133333333334,14.432083333333333
greenwich,2023-10-06 13:00:00+00:00,,0.0,451.0,4.31075,240,14.75,21.75,74.66324999999999,15.274000000000001
greenwich,2023-10-06 14:00:00+00:00,,0.0,536.75,4.31675,241,15.75,23.416666666666668,72.81733333333334,16.048333333333336
greenwich,2023-10-06 15:00:00+00:00,,0.0,575.75,4.315,241,15.833333333333334,23.0,70.27158333333334,16.467
greenwich,2023-10-06 16:00:00+00:00,,0.0,565.75,4.317166666666666,232,13.75,21.333333333333332,67.32308333333333,16.349833333333333
greenwich,2023-10-06 17:00:00+00:00,,0.0,506.75,4.317,232,12.5,19.166666666666668,64.36625,16.64075
greenwich,2023-10-06 18:00:00+00:00,,0.0,405.8333333333333,4.31875,236,9.75,15.5,62.93958333333333,16.644333333333332
greenwich,2023-10-06 19:00:00+00:00,,0.0,275.25,4.3195,209,9.583333333333334,17.0,61.58991666666666,15.692
greenwich,2023-10-06 20:00:00+00:00,,0.0,130.91666666666666,4.3195,219,7.166666666666667,11.75,64.68258333333334,15.746
