station,timestamp_utc,air_temperature_c,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,relative_humidity_pct,dew_point_c
greenwich,2023-04-01 03:00:00+00:00,-1.9753333333333332,0.0,1.0,4.217666666666667,170.0,2.9,5.833333333333333,,
greenwich,2023-04-01 04:00:00+00:00,-1.5593333333333335,0.0,1.0,4.211749999999999,201.0,4.633333333333334,7.8,,
greenwich,2023-04-01 05:00:00+00:00,-1.3616666666666668,0.0,1.0,4.206416666666667,194.0,5.233333333333333,9.4,,
greenwich,2023-04-01 06:00:00+00:00,-1.0973333333333335,0.0,1.0,4.203083333333333,205.0,6.366666666666666,10.866666666666667,,
greenwich,2023-04-01 07:00:00+00:00,-0.9983333333333333,0.0,1.0,4.2004166666666665,208.0,5.466666666666667,9.333333333333334,,
greenwich,2023-04-01 08:00:00+00:00,-0.9793333333333333,0.0,1.0,4.19725,190.0,5.5,9.9,,
greenwich,2023-04-01 09:00:00+00:00,-1.0963333333333334,0.0,1.4666666666666666,4.196083333333333,181.0,5.2,9.0,,
greenwich,2023-04-01 10:00:00+00:00,-0.803,0.0,34.8,4.283416666666667,190.0,5.866666666666666,10.066666666666666,,
greenwich,2023-04-01 11:00:00+00:00,0.40399999999999997,0.0,85.8,4.314916666666666,197.0,6.2,10.833333333333334,,
greenwich,2023-04-01 12:00:00+00:00,1.9080000000000001,0.0,152.8,4.317916666666666,197.0,6.2,10.6,,
greenwich,2023-04-01 13:00:00+00:00,3.451,0.0,282.6,4.3145,194.0,8.1,14.866666666666667,,
greenwich,2023-04-01 14:00:00+00:00,3.533666666666667,0.0,292.96666666666664,4.31625,202.0,10.733333333333333,18.733333333333334,,
greenwich,2023-04-01 15:00:00+00:00,3.536,0.0,238.26666666666668,4.312333333333334,178.0,10.666666666666666,18.333333333333332,,
greenwich,2023-04-01 16:00:00+00:00,2.679333333333333,0.0,210.93333333333334,4.313166666666667,163.0,10.5,18.3,,
greenwich,2023-04-01 17:00:00+00:00,2.1983333333333333,0.0,169.2,4.311916666666667,154.0,8.833333333333334,16.666666666666668,,
greenwich,2023-04-01 18:00:00+00:00,2.002666666666667,0.2,154.9,4.317833333333334,152.0,8.833333333333334,18.1,,
greenwich,2023-04-01 19:00:00+00:00,1.2456666666666665,0.8,72.36666666666666,4.31625,125.0,11.3,22.8,,
greenwich,2023-04-01 20:00:00+00:00,1.166,0.2,75.46666666666667,4.316833333333333,149.0,15.466666666666667,30.1,,
greenwich,2023-04-01 21:00:00+00:00,0.9283333333333333,0.2,17.4,4.304833333333334,146.0,15.9,30.0,,
greenwich,2023-04-01 22:00:00+00:00,1.074,0.8,1.8,4.2815,166.0,16.1,29.6,,
greenwich,2023-04-01 23:00:00+00:00,1.3373333333333333,0.2,1.0,4.257416666666667,152.0,16.3,26.833333333333332,,
greenwich,2023-04-02 00:00:00+00:00,1.486,1.4000000000000001,1.0,4.246333333333333,166.0,9.433333333333334,15.866666666666667,,
greenwich,2023-04-02 01:00:00+00:00,1.9616666666666667,0.0,1.0,4.2375,166.0,5.6,10.066666666666666,,
greenwich,2023-04-02 02:00:00+00:00,3.633666666666667,0.0,1.0,4.2315,222.0,12.066666666666666,17.7,,
greenwich,2023-04-02 03:00:00+00:00,3.334,0.0,1.0,4.226666666666667,247.0,7.066666666666666,13.133333333333333,,
greenwich,2023-04-02 04:00:00+00:00,2.8810000000000002,0.0,1.0,4.22225,260.0,6.766666666666667,11.266666666666667,,
greenwich,2023-04-02 05:00:00+00:00,2.584,0.0,1.0,4.217083333333334,250.0,10.7,15.266666666666667,,
greenwich,2023-04-02 06:00:00+00:00,2.4219999999999997,0.0,1.0,4.213916666666667,244.0,6.166666666666667,9.3,,
greenwich,2023-04-02 07:00:00+00:00,2.7479999999999998,0.0,1.0,4.21025,199.0,6.3,9.266666666666667,,
greenwich,2023-04-02 08:00:00+00:00,3.2796666666666665,0.0,1.0,4.206833333333333,247.0,10.433333333333334,16.366666666666667,,
greenwich,2023-04-02 09:00:00+00:00,2.9923333333333333,0.0,1.0333333333333334,4.205166666666667,247.0,5.766666666666667,12.4,,
greenwich,2023-04-02 10:00:00+00:00,2.5756666666666663,0.0,14.266666666666667,4.245666666666667,271.0,6.2,13.0,,
greenwich,2023-04-02 11:00:00+00:00,2.198666666666667,0.0,78.76666666666667,4.315416666666667,310.0,10.966666666666667,21.733333333333334,,
greenwich,2023-04-02 12:00:00+00:00,2.8216666666666668,0.0,173.33333333333334,4.318666666666666,296.0,9.2,17.733333333333334,,
greenwich,2023-04-02 13:00:00+00:00,2.6540000000000004,0.0,234.9,4.314416666666667,306.0,8.766666666666667,18.366666666666667,,
greenwich,2023-04-02 14:00:00+00:00,3.0656666666666665,0.0,410.7,4.31675,303.0,10.666666666666666,21.5,,
greenwich,2023-04-02 15:00:00+00:00,3.2239999999999998,0.0,728.4,4.3101666666666665,303.0,14.7,26.0,,
greenwich,2023-04-02 16:00:00+00:00,3.4553333333333334,0.0,918.8333333333334,4.310333333333333,313.0,14.933333333333334,25.766666666666666,,
greenwich,2023-04-02 17:00:00+00:00,3.6453333333333333,0.0,999.0,4.30875,317.0,13.6,24.1,,
greenwich,2023-04-02 18:00:00+00:00,3.252333333333333,0.0,,4.309916666666667,303.0,13.633333333333333,24.766666666666666,,
