station,timestamp_utc,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,air_temperature_c,relative_humidity_pct,dew_point_c
greenwich,2024-01-01 00:00:00+00:00,0.0,1.0,4.095645833333333,307.0,12.333333333333334,24.88888888888889,-1.0598888888888889,95.81216666666666,-1.6568333333333334
greenwich,2024-01-02 00:00:00+00:00,0.0,,4.165430555555556,,,,,,
greenwich,2024-01-03 00:00:00+00:00,0.0,,4.192458333333334,,,,,,
greenwich,2024-01-04 00:00:00+00:00,0.0,,4.202927083333333,,,,,,
greenwich,2024-01-05 00:00:00+00:00,0.0,,4.1973819444444445,,,,,,
greenwich,2024-01-06 00:00:00+00:00,0.0,,4.200621527777778,,,,,,
greenwich,2024-01-07 00:00:00+00:00,0.0,,4.200284722222222,,,,,,
greenwich,2024-01-08 00:00:00+00:00,0.0,,4.204229166666667,,,,,,
greenwich,2024-01-09 00:00:00+00:00,0.0,,4.203878472222223,,,,,,
greenwich,2024-01-10 00:00:00+00:00,0.0,,4.187979166666667,,,,,,
greenwich,2024-01-11 00:00:00+00:00,0.0,,4.2089236111111115,,,,,,
greenwich,2024-01-12 00:00:00+00:00,0.0,,4.216875,,,,,,
greenwich,2024-01-13 00:00:00+00:00,0.0,,4.2035833333333334,,,,,,
greenwich,2024-01-14 00:00:00+00:00,0.0,,4.2100625,,,,,,
greenwich,2024-01-15 00:00:00+00:00,0.0,,4.218251773049645,,,,,,
greenwich,2024-01-16 00:00:00+00:00,0.0,,4.1994444444444445,,,,,,
greenwich,2024-01-17 00:00:00+00:00,0.0,,4.207215277777777,,,,,,
greenwich,2024-01-18 00:00:00+00:00,0.0,,4.209038194444444,,,,,,
greenwich,2024-01-19 00:00:00+00:00,0.0,,4.2026006944444445,,,,,,
greenwich,2024-01-20 00:00:00+00:00,0.0,,4.200586805555556,,,,,,
greenwich,2024-01-21 00:00:00+00:00,0.0,,4.2116493055555555,,,,,,
greenwich,2024-01-22 00:00:00+00:00,0.0,,4.2092777777777775,,,,,,
greenwich,2024-01-23 00:00:00+00:00,0.0,,4.207378472222222,,,,,,
greenwich,2024-01-24 00:00:00+00:00,0.0,,4.210840277777778,,,,,,
greenwich,2024-01-25 00:00:00+00:00,0.0,,4.198885416666666,,,,,,
greenwich,2024-01-26 00:00:00+00:00,0.0,,4.2133923611111115,,,,,,
greenwich,2024-01-27 00:00:00+00:00,0.0,,4.203027777777778,,,,,,
greenwich,2024-01-28 00:00:00+00:00,0.0,,4.212357638888889,,,,,,
greenwich,2024-01-29 00:00:00+00:00,0.0,,4.210319444444444,,,,,,
greenwich,2024-01-30 00:00:00+00:00,0.0,,4.209052083333334,,,,,,
greenwich,2024-01-31 00:00:00+00:00,0.0,,4.208940972222222,,,,,,
greenwich,2024-02-01 00:00:00+00:00,0.0,,4.158229166666667,,,,,,
