station,timestamp_utc,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,air_temperature_c,relative_humidity_pct,dew_point_c,wind_speed_kmh,wind_gust_speed_kmh
greenwich,2024-07-01 00:00:00+00:00,0.0,203.972,4.29034126984127,240,17.460642857142858,89.09799603174604,15.638472222222223,6.031746031746032,11.0
greenwich,2024-07-02 00:00:00+00:00,0.0,335.7604166666667,4.285003472222222,76,18.149086805555555,75.37329166666667,12.942819444444446,3.2083333333333335,6.552083333333333
greenwich,2024-07-03 00:00:00+00:00,0.0,335.2951388888889,4.287548611111111,34,19.896336805555556,69.09624305555556,12.731124999999999,2.482638888888889,4.760416666666667
greenwich,2024-07-04 00:00:00+00:00,0.0,178.23591549295776,4.288586805555556,128,19.840194444444442,65.87211458333334,13.060600694444444,6.8125,12.850694444444445
greenwich,2024-07-05 00:00:00+00:00,0.0,238.36491228070176,4.288645833333333,173,20.445333333333334,75.39020486111112,15.876878472222224,9.9375,16.430555555555557
greenwich,2024-07-06 00:00:00+00:00,1.6,54.83680555555556,4.287454861111112,225,18.642635416666664,88.36888194444445,16.693513888888887,9.722222222222221,17.489583333333332
greenwich,2024-07-07 00:00:00+00:00,1.6,133.45486111111111,4.285430555555555,201,20.483506944444443,91.79871874999999,19.088052083333334,7.284722222222222,12.71875
greenwich,2024-07-08 00:00:00+00:00,0.0,252.25874125874125,4.288302083333333,32,22.683944444444442,86.20362152777778,19.987302083333333,3.111111111111111,5.954861111111111
greenwich,2024-07-09 00:00:00+00:00,0.0,261.2638888888889,4.289503472222222,213,24.44973611111111,79.71085763888888,20.6118125,9.791666666666666,15.36111111111111
greenwich,2024-07-10 00:00:00+00:00,0.0,294.8576388888889,4.289930555555555,225,23.976781250000002,79.90421180555556,20.185263888888887,11.024305555555555,17.833333333333332
greenwich,2024-07-11 00:00:00+00:00,30.200000000000003,39.447916666666664,4.283631944444444,128,21.36856597222222,95.59974652777777,20.651374999999998,3.0277777777777777,6.548611111111111
greenwich,2024-07-12 00:00:00+00:00,0.2,127.88541666666667,4.2858680555555555,168,21.145024305555555,94.66042361111111,20.263704861111112,7.392361111111111,13.350694444444445
greenwich,2024-07-13 00:00:00+00:00,0.0,289.3958333333333,4.287888888888889,237,24.039947916666666,82.54168750000001,20.72732638888889,11.559027777777779,18.17361111111111
greenwich,2024-07-14 00:00:00+00:00,0.0,286.02777777777777,4.289184027777778,241,23.99392361111111,82.32756944444445,20.621131944444446,7.180555555555555,11.694444444444445
greenwich,2024-07-15 00:00:00+00:00,0.0,264.6585365853659,4.289295138888889,166,25.368086805555556,76.13101388888889,20.519545138888887,7.982638888888889,13.006944444444445
greenwich,2024-07-16 00:00:00+00:00,0.0,220.3554006968641,4.289510416666666,236,25.045510416666666,78.49078472222223,21.007364583333334,9.32638888888889,15.635416666666666
greenwich,2024-07-17 00:00:00+00:00,6.4,164.28975265017667,4.2883402777777775,192,24.05520138888889,86.74935763888888,21.637274305555554,10.597222222222221,16.680555555555557
greenwich,2024-07-18 00:00:00+00:00,2.2,88.34494773519164,4.288697916666667,223,23.085802083333334,87.97795486111112,21.000663194444442,12.54513888888889,19.822916666666668
greenwich,2024-07-19 00:00:00+00:00,0.0,325.44444444444446,4.290569444444444,237,22.79557638888889,77.82624305555555,18.43624652777778,8.67361111111111,15.871527777777779
greenwich,2024-07-20 00:00:00+00:00,0.0,322.49652777777777,4.290604166666666,240,22.84801388888889,69.43155555555556,16.463684027777777,10.152777777777779,15.84375
greenwich,2024-07-21 00:00:00+00:00,0.0,263.0,4.291649305555556,229,20.945177083333334,75.71960416666667,16.448819444444446,8.54861111111111,14.809027777777779
greenwich,2024-07-22 00:00:00+00:00,0.0,305.6666666666667,4.289458333333333,358,19.949722222222224,70.17417361111112,14.058006944444445,6.788194444444445,14.60763888888889
greenwich,2024-07-23 00:00:00+00:00,0.0,174.84375,4.288329861111111,243,19.755375,76.44146180555555,15.435434027777777,5.739583333333333,9.75
greenwich,2024-07-24 00:00:00+00:00,0.0,230.4049295774648,4.28859375,59,20.279711805555554,74.86496875,15.441149305555557,5.583333333333333,9.854166666666666
greenwich,2024-07-25 00:00:00+00:00,0.0,167.2190812720848,4.286572916666667,88,20.95851041666667,75.93963194444444,16.309354166666665,4.09375,8.416666666666666
greenwich,2024-07-26 00:00:00+00:00,3.8,157.00704225352112,4.287631944444445,197,19.878024305555556,85.85888194444445,17.36395138888889,7.864583333333333,15.822916666666666
greenwich,2024-07-27 00:00:00+00:00,0.0,316.81597222222223,4.288579861111112,27,20.217590277777777,68.87759375,14.033725694444446,4.090277777777778,9.04861111111111
greenwich,2024-07-28 00:00:00+00:00,0.0,296.24652777777777,4.289111111111111,166,22.413104166666667,70.14489583333334,16.244215277777776,13.440972222222221,20.68402777777778
greenwich,2024-07-29 00:00:00+00:00,0.0,286.8125,4.291288194444444,237,24.505791666666667,68.67859375,18.268461805555557,13.940972222222221,22.461805555555557
greenwich,2024-07-30 00:00:00+00:00,0.0,211.43554006968643,4.29146875,222,22.721645833333334,77.53991319444444,18.402524305555556,8.92361111111111,15.496527777777779
greenwich,2024-07-31 00:00:00+00:00,0.0,269.31944444444446,4.290732638888889,199,23.598614583333333,78.69796180555555,19.373527777777777,13.583333333333334,21.65625
greenwich,2024-08-01 00:00:00+00:00,0.0,1.0,4.272583333333333,244,23.216722222222224,76.62833333333333,18.855611111111113,7.861111111111111,12.666666666666666
