station,timestamp_utc,air_temperature_c,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,relative_humidity_pct,dew_point_c
greenwich,2023-07-01 00:00:00+00:00,,2.5999999999999996,247.096,4.2975674603174605,190,8.142857142857142,14.932539682539682,84.85634126984127,20.168904761904763
greenwich,2023-07-02 00:00:00+00:00,,0.0,228.21951219512195,4.294590277777778,191,7.788194444444445,14.25,83.85783680555556,19.30542013888889
greenwich,2023-07-03 00:00:00+00:00,,38.2,45.12847222222222,4.288802083333334,197,10.427083333333334,19.12847222222222,95.97371180555555,19.97712152777778
greenwich,2023-07-04 00:00:00+00:00,,7.6000000000000005,111.41319444444444,4.2907673611111115,208,4.489583333333333,8.479166666666666,97.66229166666668,18.06079513888889
greenwich,2023-07-05 00:00:00+00:00,,0.0,146.14236111111111,4.293552083333333,157,3.611111111111111,6.930555555555555,93.11616666666666,17.070677083333333
greenwich,2023-07-06 00:00:00+00:00,,0.0,253.96153846153845,4.29403125,3,5.350694444444445,10.229166666666666,90.43067708333334,16.412430555555556
greenwich,2023-07-07 00:00:00+00:00,,0.0,273.46875,4.2942430555555555,55,4.979166666666667,8.684027777777779,86.80352430555556,18.354163194444443
greenwich,2023-07-08 00:00:00+00:00,,0.0,295.65156794425087,4.294788194444444,154,7.163194444444445,11.569444444444445,81.80915972222222,19.85353125
greenwich,2023-07-09 00:00:00+00:00,,0.0,307.4826388888889,4.294770833333334,67,5.840277777777778,9.850694444444445,82.3519861111111,19.834284722222222
greenwich,2023-07-10 00:00:00+00:00,,0.0,169.67132867132867,4.294847222222222,87,5.888888888888889,12.149305555555555,86.89827430555556,19.421975694444445
greenwich,2023-07-11 00:00:00+00:00,,5.2,113.13541666666667,4.293020833333333,147,10.23263888888889,22.024305555555557,89.82419791666666,17.36384027777778
greenwich,2023-07-12 00:00:00+00:00,,19.6,189.0766550522648,4.292395833333334,147,5.496527777777778,10.565972222222221,93.8106736111111,19.19987847222222
greenwich,2023-07-13 00:00:00+00:00,,0.0,309.7673611111111,4.294614583333333,143,4.354166666666667,8.291666666666666,86.10275347222222,19.75271875
greenwich,2023-07-14 00:00:00+00:00,,0.0,298.3125,4.293854166666667,135,4.916666666666667,9.10763888888889,82.65383680555556,19.604125
greenwich,2023-07-15 00:00:00+00:00,,0.0,174.03472222222223,4.293618055555555,104,4.729166666666667,8.5625,82.41450347222222,20.473072916666666
greenwich,2023-07-16 00:00:00+00:00,,0.0,238.50347222222223,4.294819444444444,173,8.163194444444445,14.385416666666666,82.57201388888889,20.820059027777777
greenwich,2023-07-17 00:00:00+00:00,,0.0,170.22222222222223,4.294295138888889,166,12.26736111111111,21.56597222222222,82.47648958333333,20.92989236111111
greenwich,2023-07-18 00:00:00+00:00,,0.0,223.66666666666666,4.291097222222223,219,9.48263888888889,15.434027777777779,84.50384027777778,22.470239583333335
greenwich,2023-07-19 00:00:00+00:00,,3.4000000000000004,85.11111111111111,4.289267361111111,194,6.604166666666667,12.03125,91.85632638888889,22.36665625
greenwich,2023-07-20 00:00:00+00:00,,0.0,275.33680555555554,4.2906562500000005,187,5.065972222222222,9.39236111111111,89.97888541666667,20.813586805555556
greenwich,2023-07-21 00:00:00+00:00,,0.0,211.18055555555554,4.290166666666667,65,4.399305555555555,8.6875,88.73414930555556,19.908527777777778
greenwich,2023-07-22 00:00:00+00:00,,70.4,41.09027777777778,4.281104166666667,160,8.180555555555555,15.979166666666666,97.68780555555556,19.272888888888886
greenwich,2023-07-23 00:00:00+00:00,,0.0,159.9298245614035,4.287631944444445,157,4.190972222222222,7.673611111111111,92.83330555555555,21.920222222222222
greenwich,2023-07-24 00:00:00+00:00,,0.0,309.15277777777777,4.291159722222222,138,4.173611111111111,8.163194444444445,83.2632048611111,20.62270486111111
greenwich,2023-07-25 00:00:00+00:00,,0.0,307.64930555555554,4.292694444444445,248,10.003472222222221,15.51736111111111,69.96718402777778,18.26227777777778
greenwich,2023-07-26 00:00:00+00:00,,0.0,207.61458333333334,4.293475694444444,239,11.364583333333334,17.82986111111111,77.15218402777778,18.639805555555554
greenwich,2023-07-27 00:00:00+00:00,,0.0,161.21875,4.292309027777778,227,16.52777777777778,25.038194444444443,83.31539930555556,19.982395833333335
greenwich,2023-07-28 00:00:00+00:00,,13.0,249.12152777777777,4.291677083333333,241,5.479166666666667,10.059027777777779,90.3143923611111,19.92079513888889
greenwich,2023-07-29 00:00:00+00:00,,0.2,259.44444444444446,4.294104166666667,167,10.885416666666666,19.32638888888889,81.68669444444444,18.437583333333336
greenwich,2023-07-30 00:00:00+00:00,,2.0,273.0486111111111,4.291173611111111,7,4.25,9.125,82.02248263888889,16.484128472222224
greenwich,2023-07-31 00:00:00+00:00,,0.0,295.4140350877193,4.291753472222222,17,4.118055555555555,7.690972222222222,78.82803472222221,15.836482638888889
greenwich,2023-08-01 00:00:00+00:00,,0.0,1.0,4.273805555555556,173,3.138888888888889,7.611111111111111,80.71777777777778,15.444305555555555
