station,timestamp_utc,rain_mm,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,air_temperature_c,relative_humidity_pct,dew_point_c
greenwich,2024-02-01 04:00:00+00:00,0.0,,4.143833333333333,,,,,,
greenwich,2024-02-01 05:00:00+00:00,0.0,,4.139333333333333,,,,,,
greenwich,2024-02-01 06:00:00+00:00,0.0,,4.135916666666667,,,,,,
greenwich,2024-02-01 07:00:00+00:00,0.0,,4.134333333333333,,,,,,
greenwich,2024-02-01 08:00:00+00:00,0.0,,4.132083333333333,,,,,,
greenwich,2024-02-01 09:00:00+00:00,0.0,,4.131166666666666,,,,,,
greenwich,2024-02-01 10:00:00+00:00,0.0,,4.1305000000000005,,,,,,
greenwich,2024-02-01 11:00:00+00:00,0.0,,4.133166666666667,,,,,,
greenwich,2024-02-01 12:00:00+00:00,0.0,,4.2236666666666665,,,,,,
greenwich,2024-02-01 13:00:00+00:00,0.0,,4.293583333333333,,,,,,
greenwich,2024-02-01 14:00:00+00:00,0.0,,4.298416666666667,,,,,,
greenwich,2024-02-01 15:00:00+00:00,0.0,,4.301666666666667,,,,,,
greenwich,2024-02-01 16:00:00+00:00,0.0,,4.302083333333333,,,,,,
greenwich,2024-02-01 17:00:00+00:00,0.0,,4.300666666666666,,,,,,
greenwich,2024-02-01 18:00:00+00:00,0.0,,4.299333333333333,,,,,,
greenwich,2024-02-01 19:00:00+00:00,0.0,,4.294833333333334,,,,,,
greenwich,2024-02-01 20:00:00+00:00,0.0,,4.286666666666666,,,,,,
greenwich,2024-02-01 21:00:00+00:00,0.0,,4.230833333333333,,,,,,
greenwich,2024-02-01 22:00:00+00:00,0.0,,4.207083333333333,,,,,,
greenwich,2024-02-01 23:00:00+00:00,0.0,,4.1964999999999995,,,,,,
greenwich,2024-02-02 00:00:00+00:00,0.0,,4.189166666666667,,,,,,
greenwich,2024-02-02 01:00:00+00:00,0.0,,4.183666666666666,,,,,,
greenwich,2024-02-02 02:00:00+00:00,0.0,,4.17825,,,,,,
greenwich,2024-02-02 03:00:00+00:00,0.0,,4.173166666666666,,,,,,
greenwich,2024-02-02 04:00:00+00:00,0.0,,4.167916666666667,,,,,,
greenwich,2024-02-02 05:00:00+00:00,0.0,,4.163833333333334,,,,,,
greenwich,2024-02-02 06:00:00+00:00,0.0,,4.16,,,,,,
greenwich,2024-02-02 07:00:00+00:00,0.0,,4.155166666666667,,,,,,
greenwich,2024-02-02 08:00:00+00:00,0.0,,4.1505,,,,,,
greenwich,2024-02-02 09:00:00+00:00,0.0,,4.145499999999999,,,,,,
greenwich,2024-02-02 10:00:00+00:00,0.0,,4.142333333333333,,,,,,
greenwich,2024-02-02 11:00:00+00:00,0.0,,4.140416666666667,,,,,,
greenwich,2024-02-02 12:00:00+00:00,0.0,,4.157583333333333,,,,,,
greenwich,2024-02-02 13:00:00+00:00,0.0,,4.220416666666667,,,,,,
greenwich,2024-02-02 14:00:00+00:00,0.0,,4.293166666666667,,,,,,
greenwich,2024-02-02 15:00:00+00:00,0.0,,4.297083333333334,,,,,,
greenwich,2024-02-02 16:00:00+00:00,0.0,,4.300916666666667,,,,,,
greenwich,2024-02-02 17:00:00+00:00,0.0,,4.299833333333333,,,,,,
greenwich,2024-02-02 18:00:00+00:00,0.0,,4.297166666666667,,,,,,
greenwich,2024-02-02 19:00:00+00:00,0.0,,4.29575,,,,,,
greenwich,2024-02-02 20:00:00+00:00,0.0,,4.2825,,,,,,
