station,timestamp_utc,rain_mm,solar_radiation_w_m2,battery_v,wind_direction_deg,wind_speed_kmh,wind_gust_speed_kmh,air_temperature_c,relative_humidity_pct,dew_point_c
greenwich,2024-03-01 04:00:00+00:00,0.0,,4.1652499999999995,,,,,,
greenwich,2024-03-01 05:00:00+00:00,0.0,,4.159416666666667,,,,,,
greenwich,2024-03-01 06:00:00+00:00,0.0,,4.155166666666667,,,,,,
greenwich,2024-03-01 07:00:00+00:00,0.0,,4.1499999999999995,,,,,,
greenwich,2024-03-01 08:00:00+00:00,0.0,,4.146999999999999,,,,,,
greenwich,2024-03-01 09:00:00+00:00,0.0,,4.143083333333333,,,,,,
greenwich,2024-03-01 10:00:00+00:00,0.0,,4.1433333333333335,,,,,,
greenwich,2024-03-01 11:00:00+00:00,0.0,,4.244166666666667,,,,,,
greenwich,2024-03-01 12:00:00+00:00,0.0,,4.295916666666667,,,,,,
greenwich,2024-03-01 13:00:00+00:00,0.0,,4.300583333333333,,,,,,
greenwich,2024-03-01 14:00:00+00:00,0.0,,4.3005,,,,,,
greenwich,2024-03-01 15:00:00+00:00,0.0,,4.303916666666667,,,,,,
greenwich,2024-03-01 16:00:00+00:00,0.0,,4.3035000000000005,,,,,,
greenwich,2024-03-01 17:00:00+00:00,0.0,,4.302416666666667,,,,,,
greenwich,2024-03-01 18:00:00+00:00,0.0,,4.2956666666666665,,,,,,
greenwich,2024-03-01 19:00:00+00:00,0.0,,4.30425,,,,,,
greenwich,2024-03-01 20:00:00+00:00,0.0,,4.30425,,,,,,
greenwich,2024-03-01 21:00:00+00:00,0.0,,4.301333333333333,,,,,,
greenwich,2024-03-01 22:00:00+00:00,0.0,,4.239583333333333,,,,,,
greenwich,2024-03-01 23:00:00+00:00,0.0,,4.195416666666667,,,,,,
greenwich,2024-03-02 00:00:00+00:00,0.0,,4.177333333333333,,,,,,
greenwich,2024-03-02 01:00:00+00:00,0.0,,4.1655,,,,,,
