Date,Time,"RH (RH 21114839:20824084-2),%,Cavendish Green Gables","Temperature (Temperature 21114839:20824084-1),°C,Cavendish Green Gables","Average wind speed (Average wind speed 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind Direction (Wind Direction 21114839:21107892-3),°,Cavendish Green Gables","Rain (Rain 21114839:21092075-1),mm,Cavendish Green Gables","Solar Radiation (Solar Radiation 21114839:21109518-1),W/m²,Cavendish Green Gables","Wind gust speed (Wind gust speed 21114839:21107892-2),Km/h,Cavendish Green Gables","Dew Point (Dew Point 21114839:20824084-3),°C,Cavendish Green Gables","Accumulated Rain (Accumulated Rain 21114839:21092075-2),mm,Cavendish Green Gables"
01/01/2026,00:00:00 -0400,78.09999650524509,-4.742588149586538,7.213647604549633,183.91372549019607,0,0.625,8.415922205307904,-7.977342007677263,0
01/01/2026,00:02:00 -0400,78.19999650077037,-4.742588149586538,6.01137300379136,175.49019607843135,0,0.625,8.415922205307904,-7.960891226570649,
01/01/2026,00:04:00 -0400,78.19999650077037,-4.742588149586538,4.809098403033088,168.47058823529412,0,0.625,6.01137300379136,-7.960891226570649,
01/01/2026,00:06:00 -0400,78.19999650077037,-4.712100185116,6.01137300379136,178.2980392156863,0,0.625,8.415922205307904,-7.931189034080624,
01/01/2026,00:08:00 -0400,78.29999649629565,-4.681632200469153,7.213647604549633,176.89411764705883,0,0.625,9.618196806066177,-7.885065808062196,
01/01/2026,00:10:00 -0400,78.39999649182093,-4.620755963513815,6.01137300379136,178.2980392156863,0,0.625,8.415922205307904,-7.8093201461248265,
01/01/2026,00:12:00 -0400,78.39999649182093,-4.590347608044127,6.01137300379136,171.27843137254902,0,0.625,8.415922205307904,-7.779687463462609,
01/01/2026,00:14:00 -0400,78.39999649182093,-4.590347608044127,6.01137300379136,183.91372549019607,0,0.625,9.618196806066177,-7.779687463462609,
01/01/2026,00:16:00 -0400,78.49999648734621,-4.590347608044127,6.01137300379136,186.721568627451,0,0.625,8.415922205307904,-7.7632713826092585,
01/01/2026,00:18:00 -0400,78.49999648734621,-4.559959026075404,4.809098403033088,186.721568627451,0,0.625,7.213647604549633,-7.733653845810057,
01/01/2026,00:20:00 -0400,78.59999648287149,-4.590347608044127,4.809098403033088,186.721568627451,0,0.625,7.213647604549633,-7.746873860779223,
01/01/2026,00:22:00 -0400,78.49999648734621,-4.590347608044127,6.01137300379136,188.12549019607843,0,0.625,8.415922205307904,-7.7632713826092585,
01/01/2026,00:24:00 -0400,78.49999648734621,-4.590347608044127,4.809098403033088,189.52941176470588,0,0.625,7.213647604549633,-7.7632713826092585,
01/01/2026,00:26:00 -0400,78.59999648287149,-4.590347608044127,3.6068238022748167,189.52941176470588,0,0.625,6.01137300379136,-7.746873860779223,
01/01/2026,00:28:00 -0400,78.59999648287149,-4.590347608044127,4.809098403033088,192.3372549019608,0,0.625,6.01137300379136,-7.746873860779223,
01/01/2026,00:30:00 -0400,78.59999648287149,-4.620755963513815,3.6068238022748167,193.74117647058821,0,0.625,4.809098403033088,-7.776515001691807,
01/01/2026,00:32:00 -0400,78.59999648287149,-4.620755963513815,2.404549201516544,193.74117647058821,0,0.625,4.809098403033088,-7.776515001691807,
