"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 00:00","2024","08","01","00:00","","21.9","","19.2","","85","","0.0","","19","","9","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 01:00","2024","08","01","01:00","","22.0","","19.3","","85","","0.0","","19","","12","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 02:00","2024","08","01","02:00","","21.7","","19.6","","87","","0.0","","20","","13","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 03:00","2024","08","01","03:00","","22.5","","20.3","","87","","0.0","","21","","17","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 04:00","2024","08","01","04:00","","21.7","","19.9","","89","","0.0","","19","","14","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 05:00","2024","08","01","05:00","","21.4","","20.0","","92","","0.0","","19","","13","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 06:00","2024","08","01","06:00","","21.9","","20.3","","91","","0.0","","20","","15","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 07:00","2024","08","01","07:00","","23.3","","20.7","","85","","0.0","","20","","18","","","","","","31","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 08:00","2024","08","01","08:00","","24.1","","20.7","","81","","0.0","","21","","21","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 09:00","2024","08","01","09:00","","24.9","","20.8","","78","","0.0","","21","","25","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 10:00","2024","08","01","10:00","","26.0","","20.6","","72","","0.0","","20","","23","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 11:00","2024","08","01","11:00","","26.4","","20.3","","69","","0.0","","20","","24","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 12:00","2024","08","01","12:00","","25.5","","20.4","","73","","0.0","","18","","19","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 13:00","2024","08","01","13:00","","25.1","","20.7","","77","","0.0","","19","","18","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 14:00","2024","08","01","14:00","","25.5","","21.6","","79","","0.0","","19","","20","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 15:00","2024","08","01","15:00","","26.4","","21.7","","76","","0.0","","20","","22","","","","","","35","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 16:00","2024","08","01","16:00","","25.3","","21.8","","81","","0.0","","20","","16","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 17:00","2024","08","01","17:00","","23.2","","22.1","","94","","3.6","","20","","15","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 18:00","2024","08","01","18:00","","23.1","","22.4","","96","","5.3","","18","","10","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 19:00","2024","08","01","19:00","","23.1","","22.3","","95","","0.0","","22","","12","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 20:00","2024","08","01","20:00","","22.7","","21.9","","95","","0.0","","22","","10","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 21:00","2024","08","01","21:00","","22.5","","21.7","","95","","0.0","","23","","11","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 22:00","2024","08","01","22:00","","22.0","","21.2","","95","","0.0","","24","","10","","","","","","31","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-01 23:00","2024","08","01","23:00","","21.8","","21.0","","95","","0.0","","24","","11","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 00:00","2024","08","02","00:00","","21.6","","20.8","","95","","0.0","","24","","9","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 01:00","2024","08","02","01:00","","21.1","","20.5","","96","","0.0","","23","","9","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 02:00","2024","08","02","02:00","","21.0","","20.4","","96","","0.0","","25","","7","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 03:00","2024","08","02","03:00","","21.4","","20.8","","97","","0.0","","25","","8","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 04:00","2024","08","02","04:00","","21.7","","21.0","","96","","0.0","","30","","12","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 05:00","2024","08","02","05:00","","21.2","","20.7","","97","","0.0","","30","","9","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 06:00","2024","08","02","06:00","","21.3","","20.7","","97","","0.0","","27","","6","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 07:00","2024","08","02","07:00","","21.8","","21.1","","96","","0.0","","25","","5","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 08:00","2024","08","02","08:00","","24.0","","21.7","","87","","0.0","","26","","6","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 09:00","2024","08","02","09:00","","24.6","","21.5","","83","","0.0","","31","","9","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 10:00","2024","08","02","10:00","","24.9","","22.1","","84","","0.0","","33","","7","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 11:00","2024","08","02","11:00","","25.0","","20.4","","76","","0.0","","33","","9","","","","","","33","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 12:00","2024","08","02","12:00","","25.5","","20.6","","75","","0.0","","33","","7","","","","","","34","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 13:00","2024","08","02","13:00","","24.8","","19.7","","73","","0.0","","34","","6","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 14:00","2024","08","02","14:00","","24.9","","19.7","","73","","0.0","","2","","6","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 15:00","2024","08","02","15:00","","24.5","","20.5","","78","","0.0","","2","","10","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 16:00","2024","08","02","16:00","","24.1","","19.7","","77","","0.0","","4","","7","","","","","","31","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 17:00","2024","08","02","17:00","","23.9","","20.4","","81","","0.0","","5","","6","","","","","","32","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 18:00","2024","08","02","18:00","","23.2","","20.3","","84","","0.0","","8","","8","","","","","","31","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 19:00","2024","08","02","19:00","","23.0","","20.7","","87","","0.0","","8","","7","","","","","","31","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 20:00","2024","08","02","20:00","","22.1","","20.3","","89","","0.0","","","","0","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 21:00","2024","08","02","21:00","","21.8","","20.3","","91","","0.0","","15","","3","","","","","","30","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 22:00","2024","08","02","22:00","","21.5","","20.1","","92","","0.0","","17","","5","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-02 23:00","2024","08","02","23:00","","21.5","","19.7","","89","","0.0","","18","","6","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 00:00","2024","08","03","00:00","","21.5","","19.6","","89","","0.0","","19","","9","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 01:00","2024","08","03","01:00","","21.9","","19.8","","88","","0.0","","21","","11","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 02:00","2024","08","03","02:00","","21.7","","19.6","","88","","0.0","","21","","12","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 03:00","2024","08","03","03:00","","21.5","","19.4","","88","","0.0","","21","","13","","","","","","29","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 04:00","2024","08","03","04:00","","21.3","","19.2","","88","","0.0","","21","","12","","","","","","28","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 05:00","2024","08","03","05:00","","21.1","","19.1","","88","","0.0","","21","","11","","","","","","28","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 06:00","2024","08","03","06:00","","21.4","","19.1","","87","","0.0","","20","","15","","","","","","28","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2024-08-03 07:00","2024","08","03","07:00","","22.5","","19.5","","83","","0.0","","21","","13","","","","","","30","","","","NA"
