"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 00:00","2023","12","01","00:00","","3.1","","-0.9","","75","","0.0","","20","","16","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 01:00","2023","12","01","01:00","","2.9","","-0.8","","76","","0.0","","20","","14","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 02:00","2023","12","01","02:00","","2.9","","-0.6","","77","","0.0","","20","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 03:00","2023","12","01","03:00","","3.3","","-0.1","","79","","0.0","","20","","15","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 04:00","2023","12","01","04:00","","3.4","","0.2","","80","","0.0","","20","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 05:00","2023","12","01","05:00","","4.2","","0.6","","77","","0.0","","20","","21","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 06:00","2023","12","01","06:00","","3.8","","0.8","","81","","0.0","","19","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 07:00","2023","12","01","07:00","","4.4","","1.3","","81","","0.0","","20","","18","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 08:00","2023","12","01","08:00","","4.7","","1.9","","82","","0.0","","20","","19","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 09:00","2023","12","01","09:00","","5.6","","2.5","","81","","0.0","","21","","20","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 10:00","2023","12","01","10:00","","6.8","","2.9","","76","","0.0","","21","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 11:00","2023","12","01","11:00","","7.3","","3.3","","75","","0.0","","21","","19","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 12:00","2023","12","01","12:00","","8.9","","4.0","","71","","0.0","","23","","18","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 13:00","2023","12","01","13:00","","9.2","","4.4","","72","","0.0","","23","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 14:00","2023","12","01","14:00","","10.3","","4.6","","68","","0.0","","24","","20","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 15:00","2023","12","01","15:00","","8.8","","4.4","","74","","0.0","","22","","15","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 16:00","2023","12","01","16:00","","7.9","","4.3","","78","","0.0","","23","","10","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 17:00","2023","12","01","17:00","","7.5","","4.2","","80","","0.0","","23","","12","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 18:00","2023","12","01","18:00","","7.0","","4.1","","82","","0.0","","22","","8","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 19:00","2023","12","01","19:00","","6.8","","4.1","","83","","0.0","","22","","6","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 20:00","2023","12","01","20:00","","6.9","","4.5","","85","","0.0","","23","","11","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 21:00","2023","12","01","21:00","","6.5","","4.5","","87","","0.0","","24","","7","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 22:00","2023","12","01","22:00","","5.9","","4.2","","88","","0.0","","23","","5","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-01 23:00","2023","12","01","23:00","","4.8","","3.4","","91","","0.0","","","","0","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 00:00","2023","12","02","00:00","","3.9","","2.9","","94","","0.0","","21","","6","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 01:00","2023","12","02","01:00","","2.8","","1.9","","94","","0.0","","","","0","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 02:00","2023","12","02","02:00","","2.1","","1.3","","95","","0.0","","","","0","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 03:00","2023","12","02","03:00","","2.1","","1.4","","95","","0.0","","","","0","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 04:00","2023","12","02","04:00","","2.8","","2.1","","95","","0.0","","27","","4","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 05:00","2023","12","02","05:00","","3.4","","2.8","","95","","0.0","","28","","3","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 06:00","2023","12","02","06:00","","3.8","","3.2","","96","","0.2","","32","","3","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 07:00","2023","12","02","07:00","","4.9","","4.3","","96","","0.3","","3","","6","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 08:00","2023","12","02","08:00","","4.9","","4.2","","95","","0.0","","6","","7","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 09:00","2023","12","02","09:00","","5.1","","4.3","","94","","0.0","","6","","7","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 10:00","2023","12","02","10:00","","5.1","","4.3","","94","","0.2","","6","","11","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 11:00","2023","12","02","11:00","","4.7","","3.9","","94","","1.0","","5","","15","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 12:00","2023","12","02","12:00","","4.7","","4.0","","95","","0.8","","6","","15","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 13:00","2023","12","02","13:00","","4.5","","3.7","","95","","0.5","","7","","20","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 14:00","2023","12","02","14:00","","4.3","","3.5","","94","","0.5","","6","","21","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 15:00","2023","12","02","15:00","","4.0","","3.0","","94","","0.6","","6","","23","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 16:00","2023","12","02","16:00","","3.7","","2.7","","93","","0.7","","6","","20","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 17:00","2023","12","02","17:00","","2.6","","1.5","","92","","0.9","","5","","26","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 18:00","2023","12","02","18:00","","2.3","","1.1","","92","","1.3","","5","","28","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 19:00","2023","12","02","19:00","","2.3","","0.9","","90","","0.8","","4","","28","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 20:00","2023","12","02","20:00","","2.2","","1.0","","92","","0.8","","4","","29","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 21:00","2023","12","02","21:00","","2.1","","0.5","","89","","0.3","","4","","26","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 22:00","2023","12","02","22:00","","2.3","","0.3","","87","","0.0","","3","","27","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-02 23:00","2023","12","02","23:00","","2.3","","-0.9","","80","","0.0","","2","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 00:00","2023","12","03","00:00","","2.8","","-1.5","","74","","0.0","","2","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 01:00","2023","12","03","01:00","","2.8","","-0.9","","77","","0.0","","2","","27","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 02:00","2023","12","03","02:00","","2.2","","-1.8","","75","","0.0","","2","","23","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 03:00","2023","12","03","03:00","","1.9","","-2.3","","74","","0.0","","2","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 04:00","2023","12","03","04:00","","1.6","","-2.4","","75","","0.0","","2","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 05:00","2023","12","03","05:00","","1.4","","-2.8","","73","","0.0","","2","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 06:00","2023","12","03","06:00","","1.2","","-3.4","","71","","0.0","","2","","20","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2023-12-03 07:00","2023","12","03","07:00","","1.0","","-3.6","","71","","0.0","","2","","21","","","","","","","","","","NA"
