"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 00:00","2025","12","01","00:00","","2.0","","0.9","","92","","0.0","","15","","18","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 01:00","2025","12","01","01:00","","3.6","","2.4","","92","","0.0","","16","","19","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 02:00","2025","12","01","02:00","","4.6","","3.6","","93","","0.8","","16","","18","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 03:00","2025","12","01","03:00","","5.3","","4.4","","94","","1.3","","17","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 04:00","2025","12","01","04:00","","6.6","","5.7","","94","","0.3","","18","","17","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 05:00","2025","12","01","05:00","","7.3","","6.4","","94","","0.9","","18","","16","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 06:00","2025","12","01","06:00","","8.4","","7.2","","92","","0.0","","18","","22","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 07:00","2025","12","01","07:00","","8.4","","7.4","","94","","0.7","","19","","19","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 08:00","2025","12","01","08:00","","5.7","","5.0","","96","","4.1","","29","","7","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 09:00","2025","12","01","09:00","","5.3","","4.7","","96","","1.5","","28","","9","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 10:00","2025","12","01","10:00","","4.5","","3.8","","95","","0.8","","28","","9","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 11:00","2025","12","01","11:00","","5.2","","3.8","","90","","0.0","","27","","11","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 12:00","2025","12","01","12:00","","6.7","","3.2","","78","","0.0","","29","","11","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 13:00","2025","12","01","13:00","","6.5","","0.4","","65","","0.0","","29","","18","","","","","","","","","","NA"
"-63.08","46.42","STANHOPE","8300590","2025-12-01 14:00","2025","12","01","14:00","","5.2","","0.8","","73","","0.0","","29","","16","","","","","","","","","","NA"
