station,timestamp_utc,rain_mm,solar_radiation_w_m2,wind_gust_speed_kmh,wind_direction_deg,air_temperature_c,relative_humidity_pct,dew_point_c,battery_v,wind_gust_speed_max_kmh,wind_speed_ms
north_rustico,2023-11-01 00:00:00+00:00,0.2,33.23809523809524,,,3.0342380952380954,81.40557142857143,0.1472857142857143,4.277837301587302,,
north_rustico,2023-11-02 00:00:00+00:00,12.2,97.1875,,,2.6827083333333337,78.2685625,-0.9610208333333333,4.278482638888889,,
north_rustico,2023-11-03 00:00:00+00:00,0.0,84.8125,,,3.1468958333333332,76.79422916666667,-0.68325,4.278225694444444,,
north_rustico,2023-11-04 00:00:00+00:00,0.0,58.541666666666664,,,9.12275,77.03745833333333,5.199729166666667,4.281524305555555,,
north_rustico,2023-11-05 00:00:00+00:00,0.0,28.854166666666668,,,4.432479166666667,82.91429166666667,1.6207916666666666,4.28028125,,
north_rustico,2023-11-06 00:00:00+00:00,0.0,111.22916666666667,,,3.1660625000000002,62.04,-3.4652499999999997,4.279916666666667,,
north_rustico,2023-11-07 00:00:00+00:00,2.2,31.145833333333332,,,3.2500416666666667,81.90543749999999,0.43741666666666673,4.275291666666667,,
north_rustico,2023-11-08 00:00:00+00:00,3.8000000000000003,34.833333333333336,,,5.5070625,87.59647916666667,3.597354166666667,4.279947916666667,,
north_rustico,2023-11-09 00:00:00+00:00,1.8,62.0,,,5.116479166666667,86.90966666666667,3.095083333333333,4.2755069444444445,,
north_rustico,2023-11-10 00:00:00+00:00,0.4,65.89583333333333,,,4.062875,86.46091666666666,1.9444791666666665,4.272611111111111,,
north_rustico,2023-11-11 00:00:00+00:00,7.4,29.875,,,3.1214166666666667,87.74695833333334,1.2328124999999999,4.272763888888889,,
north_rustico,2023-11-12 00:00:00+00:00,0.2,35.145833333333336,,,3.5158958333333334,71.64829166666667,-1.1846666666666665,4.2721875,,
north_rustico,2023-11-13 00:00:00+00:00,0.6000000000000001,56.625,,,1.2491458333333334,84.27935416666666,-1.1826458333333334,4.272656250000001,,
north_rustico,2023-11-14 00:00:00+00:00,2.2,45.395833333333336,,,1.7871875,87.59677083333334,-0.11060416666666667,4.271670138888889,,
north_rustico,2023-11-15 00:00:00+00:00,0.2,49.5,,,2.5931458333333333,84.38514583333334,0.1845,4.272802083333334,,
north_rustico,2023-11-16 00:00:00+00:00,0.0,74.44897959183673,,,5.038612244897959,80.94071428571428,1.9434489795918368,4.274472222222222,,
north_rustico,2023-11-17 00:00:00+00:00,0.0,88.0,,,5.133479166666667,74.8526875,0.8956666666666666,4.277048611111111,,
north_rustico,2023-11-18 00:00:00+00:00,13.2,14.354166666666666,,,11.847104166666668,88.51799999999999,9.992895833333334,4.27734375,,
north_rustico,2023-11-19 00:00:00+00:00,11.8,95.0625,,,3.6969166666666666,83.32364583333333,1.0597916666666667,4.276871527777778,,
north_rustico,2023-11-20 00:00:00+00:00,0.0,55.1875,,,1.1544583333333334,79.97014583333333,-1.9820416666666667,4.271496527777778,,
north_rustico,2023-11-21 00:00:00+00:00,0.8,48.166666666666664,,,1.6124166666666666,69.87010416666666,-3.3983958333333333,4.272815972222222,,
north_rustico,2023-11-22 00:00:00+00:00,0.0,44.479166666666664,,,1.1343750000000001,72.32447916666666,-3.3578333333333332,4.2721875,,
north_rustico,2023-11-23 00:00:00+00:00,3.4,21.0,,,4.449854166666666,94.08354166666668,3.5662708333333337,4.271538194444444,,
north_rustico,2023-11-24 00:00:00+00:00,0.0,65.66666666666667,,,2.6231666666666666,84.08689583333333,0.13458333333333336,4.2747118055555555,,
north_rustico,2023-11-25 00:00:00+00:00,0.0,93.3125,,,-4.854041666666666,70.18191666666667,-9.505416666666667,4.269246527777778,,
north_rustico,2023-11-26 00:00:00+00:00,0.0,49.3125,,,-1.2762708333333335,71.43485416666667,-5.880895833333334,4.268583333333334,,
north_rustico,2023-11-27 00:00:00+00:00,4.6,16.583333333333332,,,3.6464583333333334,86.89127083333334,1.6579375,4.2690625,,
north_rustico,2023-11-28 00:00:00+00:00,20.6,91.39583333333333,,,3.795208333333333,84.98914583333332,1.4042916666666667,4.274180555555556,,
north_rustico,2023-11-29 00:00:00+00:00,0.0,42.5625,,,-2.095375,72.52216666666666,-6.4171458333333335,4.268892361111111,,
north_rustico,2023-11-30 00:00:00+00:00,0.0,58.104166666666664,,,-2.3558125000000003,72.76825000000001,-6.639604166666667,4.265378472222222,,
north_rustico,2023-12-01 00:00:00+00:00,0.0,1.0,,,2.3355,83.636625,-0.15162499999999998,4.249458333333334,,
