Date,Time,"RH (RH 21114839:20824084-2),%,Cavendish Green Gables","Temperature (Temperature 21114839:20824084-1),°C,Cavendish Green Gables","Average wind speed (Average wind speed 21114839:21107892-1),Km/h,Cavendish Green Gables","Wind Direction (Wind Direction 21114839:21107892-3),°,Cavendish Green Gables","Rain (Rain 21114839:21092075-1),mm,Cavendish Green Gables","Solar Radiation (Solar Radiation 21114839:21109518-1),W/m²,Cavendish Green Gables","Wind gust speed (Wind gust speed 21114839:21107892-2),Km/h,Cavendish Green Gables","Dew Point (Dew Point 21114839:20824084-3),°C,Cavendish Green Gables","Accumulated Rain (Accumulated Rain 21114839:21092075-2),mm,Cavendish Green Gables"
11/01/2025,00:00:00 -0400,87.59999608014685,11.855801117017535,15.629569809857536,197.9529411764706,0,0.625,30.056865018956803,9.877147895091934,
11/01/2025,00:02:00 -0400,87.59999608014685,11.880050936911118,15.629569809857536,202.16470588235293,0,0.625,31.25913961971507,9.901050137917004,
11/01/2025,00:04:00 -0400,87.39999608909629,11.904297232888268,15.629569809857536,202.16470588235293,0,0.625,24.04549201516544,9.890811682490515,
11/01/2025,00:06:00 -0400,87.39999608909629,11.928540019210942,20.438668212890626,192.3372549019608,0,0.625,33.66368882123162,9.91470032952353,
11/01/2025,00:08:00 -0400,87.19999609804573,11.928540019210942,18.03411901137408,199.35686274509806,0,0.625,31.25913961971507,9.880487778150146,
11/01/2025,00:10:00 -0400,87.09999610252045,11.928540019210942,24.04549201516544,196.54901960784315,0,0.625,39.67506182502298,9.863355618477545,
11/01/2025,00:12:00 -0400,86.99999610699517,11.880050936911118,19.236393612132353,211.9921568627451,0,0.625,32.461414220473344,9.798451790078394,
11/01/2025,00:14:00 -0400,87.09999610252045,11.831547758930427,18.03411901137408,203.5686274509804,0,0.625,24.04549201516544,9.767819620260978,
11/01/2025,00:16:00 -0400,87.09999610252045,11.758766312494288,13.225020608340992,193.74117647058821,0,0.625,21.640942813648895,9.696130519845346,
11/01/2025,00:18:00 -0400,87.19999609804573,11.73449865854134,16.83184441061581,189.52941176470588,0,0.625,30.056865018956803,9.6893327263306,
11/01/2025,00:20:00 -0400,87.19999609804573,11.685952506808064,12.02274600758272,200.76078431372548,0,0.625,26.450041216681985,9.641508297035958,
11/01/2025,00:22:00 -0400,87.19999609804573,11.710227394770087,19.236393612132353,207.78039215686277,0,0.625,32.461414220473344,9.66542231622334,
11/01/2025,00:24:00 -0400,87.29999609357101,11.758766312494288,18.03411901137408,204.97254901960784,0,0.625,33.66368882123162,9.730331316516903,
11/01/2025,00:26:00 -0400,87.09999610252045,11.807290848356146,20.438668212890626,197.9529411764706,0,0.625,30.056865018956803,9.743926810462328,
11/01/2025,00:28:00 -0400,86.89999611146989,11.855801117017535,18.03411901137408,204.97254901960784,0,0.625,33.66368882123162,9.757412475871481,
11/01/2025,00:30:00 -0400,86.69999612041933,11.880050936911118,22.843217414407167,202.16470588235293,0,0.625,34.86596342198989,9.74691906801656,
11/01/2025,00:32:00 -0400,86.39999613384347,11.928540019210942,18.03411901137408,219.01176470588237,0,0.625,27.652315817440257,9.742943823687003,
11/01/2025,00:34:00 -0400,86.19999614279291,11.952779310125763,19.236393612132353,213.39607843137256,0,0.625,33.66368882123162,9.732228258633576,
11/01/2025,00:36:00 -0400,85.69999616516651,12.025476352652717,21.640942813648895,224.62745098039215,0,0.625,37.270512623506434,9.716964917101013,
11/01/2025,00:38:00 -0400,85.39999617859065,12.00124746263873,20.438668212890626,207.78039215686277,0,0.625,31.25913961971507,9.640875473805787,
11/01/2025,00:40:00 -0400,84.99999619648953,12.049701804089125,26.450041216681985,214.79999999999998,0,0.625,45.686434828814335,9.618514975452968,
11/01/2025,00:42:00 -0400,84.39999622333784,12.049701804089125,22.843217414407167,224.62745098039215,0,0.625,49.29325863108916,9.513009672132112,
11/01/2025,00:44:00 -0400,84.29999622781256,11.952779310125763,20.438668212890626,204.97254901960784,0,0.625,40.87733642578125,9.400270090029354,
11/01/2025,00:46:00 -0400,84.39999622333784,11.952779310125763,19.236393612132353,211.9921568627451,0,0.625,31.25913961971507,9.417904830778516,
11/01/2025,00:48:00 -0400,84.29999622781256,11.904297232888268,18.03411901137408,210.58823529411765,0,0.625,31.25913961971507,9.352703733551962,
11/01/2025,00:50:00 -0400,84.39999622333784,11.880050936911118,19.236393612132353,217.6078431372549,0,0.625,38.47278722426471,9.346539882603674,
11/01/2025,00:52:00 -0400,84.39999622333784,11.904297232888268,21.640942813648895,221.81960784313725,0,0.625,34.86596342198989,9.370331685400819,
11/01/2025,00:54:00 -0400,84.49999621886313,11.831547758930427,19.236393612132353,220.41568627450982,0,0.625,27.652315817440257,9.316545161297384,
11/01/2025,00:56:00 -0400,84.69999620991369,11.783030370985642,14.427295209099267,213.39607843137256,0,0.625,31.25913961971507,9.304060494030619,
11/01/2025,00:58:00 -0400,84.89999620096425,11.783030370985642,21.640942813648895,210.58823529411765,0,0.625,37.270512623506434,9.33911798635958,
11/01/2025,01:00:00 -0400,85.09999619201481,11.758766312494288,26.450041216681985,217.6078431372549,0,0.625,44.48416022805607,9.350269760557298,
11/01/2025,01:02:00 -0400,85.1999961875401,11.73449865854134,18.03411901137408,216.20392156862744,0,0.625,28.854590418198534,9.343891644471512,
11/01/2025,01:04:00 -0400,85.39999617859065,11.710227394770087,15.629569809857536,216.20392156862744,0,0.625,24.04549201516544,9.354904438899487,
11/01/2025,01:06:00 -0400,85.39999617859065,11.710227394770087,21.640942813648895,214.79999999999998,0,0.625,37.270512623506434,9.354904438899487,
11/01/2025,01:08:00 -0400,85.49999617411595,11.685952506808064,19.236393612132353,214.79999999999998,0,0.625,32.461414220473344,9.348448378177803,
11/01/2025,01:10:00 -0400,85.49999617411595,11.661673980266343,18.03411901137408,220.41568627450982,0,0.625,33.66368882123162,9.32458737652882,
11/01/2025,01:12:00 -0400,85.49999617411595,11.661673980266343,18.03411901137408,223.2235294117647,0,0.625,26.450041216681985,9.32458737652882,
11/01/2025,01:14:00 -0400,85.49999617411595,11.637391800740488,16.83184441061581,230.24313725490197,0,0.625,28.854590418198534,9.300722740544558,
11/01/2025,01:16:00 -0400,85.39999617859065,11.613105953808898,19.236393612132353,221.81960784313725,0,0.625,37.270512623506434,9.259466577477031,
11/01/2025,01:18:00 -0400,85.29999618306537,11.637391800740488,22.843217414407167,220.41568627450982,0,0.625,33.66368882123162,9.265922338537402,
11/01/2025,01:20:00 -0400,85.1999961875401,11.588816425034864,18.03411901137408,217.6078431372549,0,0.625,30.056865018956803,9.200775166198191,
11/01/2025,01:22:00 -0400,84.99999619648953,11.613105953808898,25.247766615923712,227.43529411764703,0,0.625,44.48416022805607,9.189735465750237,
11/01/2025,01:24:00 -0400,84.99999619648953,11.540226264127753,10.820471406824447,213.39607843137256,0,0.625,21.640942813648895,9.118159094184723,
11/01/2025,01:26:00 -0400,84.89999620096425,11.564523199964455,22.843217414407167,227.43529411764703,0,0.625,38.47278722426471,9.124550448112592,
11/01/2025,01:28:00 -0400,84.59999621438841,11.564523199964455,21.640942813648895,231.64705882352942,0,0.625,39.67506182502298,9.072028240890315,
11/01/2025,01:30:00 -0400,84.59999621438841,11.515925603038994,15.629569809857536,224.62745098039215,0,0.625,25.247766615923712,9.024326645360189,
11/01/2025,01:32:00 -0400,84.49999621886313,11.515925603038994,21.640942813648895,227.43529411764703,0,0.625,36.06823802274816,9.006789609294186,
11/01/2025,01:34:00 -0400,84.39999622333784,11.443001123145791,20.438668212890626,233.05098039215687,0,0.625,42.079611026539524,8.91767434852326,
11/01/2025,01:36:00 -0400,84.39999622333784,11.394365910626178,21.640942813648895,240.0705882352941,0,0.625,33.66368882123162,8.869948933120318,
11/01/2025,01:38:00 -0400,84.49999621886313,11.345715448013351,21.640942813648895,228.83921568627449,0,0.625,40.87733642578125,8.839739901282575,
11/01/2025,01:40:00 -0400,84.59999621438841,11.297049618413766,25.247766615923712,234.45490196078433,0,0.625,36.06823802274816,8.809483775185717,
11/01/2025,01:42:00 -0400,84.79999620543897,11.248368304663103,20.438668212890626,228.83921568627449,0,0.625,37.270512623506434,8.796643876422156,
11/01/2025,01:44:00 -0400,84.99999619648953,11.19967138932256,20.438668212890626,227.43529411764703,0,0.625,32.461414220473344,8.783688946930276,
11/01/2025,01:46:00 -0400,85.29999618306537,11.150958754677092,21.640942813648895,235.85882352941175,0,0.625,34.86596342198989,8.787979006558412,
11/01/2025,01:48:00 -0400,85.49999617411595,11.102230282733771,19.236393612132353,223.2235294117647,0,0.625,28.854590418198534,8.774752361692611,
11/01/2025,01:50:00 -0400,85.89999615621707,11.029107621085558,27.652315817440257,217.6078431372549,0,0.625,40.87733642578125,8.771934868553656,
11/01/2025,01:52:00 -0400,86.19999614279291,10.931554202089828,15.629569809857536,220.41568627450982,0,0.625,33.66368882123162,8.727562944426886,
11/01/2025,01:54:00 -0400,86.69999612041933,10.858346214064667,21.640942813648895,233.05098039215687,0,0.625,31.25913961971507,8.741077068322092,
11/01/2025,01:56:00 -0400,86.99999610699517,10.809520224643762,20.438668212890626,221.81960784313725,0,0.625,33.66368882123162,8.744101990101255,
11/01/2025,01:58:00 -0400,87.39999608909629,10.760677564011203,19.236393612132353,227.43529411764703,0,0.625,34.86596342198989,8.763854809881567,
11/01/2025,02:00:00 -0400,87.79999607119743,10.687382051315865,20.438668212890626,224.62745098039215,0,0.625,31.25913961971507,8.759171059154784,
11/01/2025,02:02:00 -0400,88.09999605777327,10.61404835041553,18.03411901137408,217.6078431372549,0,0.625,33.66368882123162,8.737315932736207,
11/01/2025,02:04:00 -0400,88.29999604882383,10.589595226573593,16.83184441061581,231.64705882352942,0,0.625,28.854590418198534,8.746739663080774,
11/01/2025,02:06:00 -0400,88.49999603987439,10.540676052541073,19.236393612132353,231.64705882352942,0,0.625,30.056865018956803,8.73193641395867,
