station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_speed_kmh,wind_gust_speed_kmh,wind_direction_deg,solar_radiation_w_m2,battery_v
cavendish,2025-04-01 00:00:00+00:00,6.10968253968254,94.60777777777778,5.304253968253968,9.0,12.12968253968254,19.07952380952381,215.0,83.46825396825396,4.263043650793651
cavendish,2025-04-02 00:00:00+00:00,-1.7777916666666667,60.33541666666667,-8.582972222222223,0.0,19.03472222222222,30.24486111111111,324.0,243.23472222222222,4.259427083333333
cavendish,2025-04-03 00:00:00+00:00,-1.9769027777777777,71.46763888888889,-6.674402777777777,0.2,11.475,16.67875,343.0,54.74305555555556,4.252371527777778
cavendish,2025-04-04 00:00:00+00:00,1.4575555555555557,94.03375,0.5891527777777777,5.0,9.6,14.324583333333335,156.0,191.8486111111111,4.255034722222223
cavendish,2025-04-05 00:00:00+00:00,-0.5626111111111111,84.82222222222222,-2.867555555555555,0.0,13.924027777777777,20.582083333333333,327.0,137.4777777777778,4.254892361111112
cavendish,2025-04-06 00:00:00+00:00,1.4344166666666667,92.12958333333334,0.2864722222222222,5.800000000000001,14.998055555555556,22.123055555555556,125.0,58.297222222222224,4.2442569444444445
cavendish,2025-04-07 00:00:00+00:00,1.6692777777777779,76.39347222222223,-2.148138888888889,0.0,10.231666666666667,15.745833333333334,278.0,236.74166666666667,4.259503472222223
cavendish,2025-04-08 00:00:00+00:00,-0.6106944444444444,83.15597222222223,-3.131694444444445,0.0,7.228333333333333,12.190694444444443,114.0,113.69722222222222,4.253638888888889
cavendish,2025-04-09 00:00:00+00:00,0.08440277777777778,82.95652777777778,-2.6173194444444445,1.0,11.695,17.954722222222223,45.0,145.50764951321278,4.256020833333333
cavendish,2025-04-10 00:00:00+00:00,2.1694722222222222,53.907777777777774,-6.680680555555556,0.0,18.32027777777778,27.85111111111111,251.0,265.1722222222222,4.260625
cavendish,2025-04-11 00:00:00+00:00,1.438246913580247,68.47506172839506,-3.7943456790123458,0.0,10.482962962962963,16.142222222222223,229.0,74.44444444444444,4.232765432098765
cavendish,2025-04-17 00:00:00+00:00,7.5593939393939396,58.12474747474748,-0.17464646464646463,0.0,16.673737373737374,27.06969696969697,284.0,254.98461538461538,4.2987
cavendish,2025-04-18 00:00:00+00:00,5.647194444444445,58.05736111111111,-2.350833333333333,0.0,12.238333333333333,19.794583333333335,278.0,254.05,4.269281250000001
cavendish,2025-04-19 00:00:00+00:00,7.560611111111111,75.70458333333333,3.4475,0.0,13.25111111111111,20.57847222222222,226.0,57.18888888888889,4.271138888888888
cavendish,2025-04-20 00:00:00+00:00,8.265638888888889,78.63444444444445,4.528013888888889,1.4000000000000001,20.351944444444445,32.67930555555555,225.0,127.14944134078212,4.269628472222222
cavendish,2025-04-21 00:00:00+00:00,4.987,69.60722222222222,-0.201,0.0,22.962777777777777,34.297222222222224,327.0,286.94305555555553,4.27048263888889
cavendish,2025-04-22 00:00:00+00:00,4.827069444444444,67.95902777777778,-0.6976388888888889,0.2,6.888333333333334,10.06611111111111,358.0,84.04305555555555,4.268065972222222
cavendish,2025-04-23 00:00:00+00:00,5.270625,91.52166666666668,3.9736805555555557,0.2,8.671666666666667,12.555,139.0,96.13472222222222,4.269197916666666
cavendish,2025-04-24 00:00:00+00:00,2.3648194444444446,94.64027777777778,1.5863472222222224,0.0,8.566666666666666,11.928333333333333,354.0,158.11666666666667,4.268954861111111
cavendish,2025-04-25 00:00:00+00:00,4.316916666666667,93.88583333333334,3.399027777777778,2.0,8.475,11.811666666666666,31.0,72.5875,4.265104166666666
cavendish,2025-04-26 00:00:00+00:00,6.165361111111111,91.81972222222223,4.826041666666667,5.0,10.576527777777779,15.579722222222221,74.0,86.87222222222222,4.268184027777778
cavendish,2025-04-27 00:00:00+00:00,6.198152777777778,97.25763888888889,5.7948055555555555,12.200000000000001,14.0375,20.52347222222222,149.0,61.855555555555554,4.270579861111111
cavendish,2025-04-28 00:00:00+00:00,3.1570277777777775,91.75625,1.8649722222222223,4.6000000000000005,15.507777777777779,23.659305555555555,28.0,227.90972222222223,4.265954861111111
cavendish,2025-04-29 00:00:00+00:00,6.984277777777778,69.91027777777778,1.1160972222222223,0.0,9.702083333333333,14.688194444444445,42.0,218.35555555555555,4.268871527777778
cavendish,2025-04-30 00:00:00+00:00,10.59048611111111,68.19541666666666,4.902444444444444,0.0,21.918194444444445,33.86402777777778,192.0,248.78998609179416,4.277072916666667
cavendish,2025-05-01 00:00:00+00:00,4.655888888888889,72.42777777777778,0.12655555555555556,0.0,24.08,37.379999999999995,331.0,1.0,4.241555555555555
