station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_speed_ms,wind_gust_speed_max_kmh
cavendish,2023-08-01 03:00:00+00:00,17.023666666666667,83.37666666666668,14.198666666666666,0.0,247.0,1.0,4.25725,6.866666666666666,10.2,,
cavendish,2023-08-01 04:00:00+00:00,16.872666666666667,86.6,14.641333333333334,0.0,247.0,1.0,4.2535,7.0,10.766666666666667,,
cavendish,2023-08-01 05:00:00+00:00,16.707666666666668,90.17,15.107,0.0,257.0,1.0,4.250166666666667,7.533333333333333,11.633333333333333,,
cavendish,2023-08-01 06:00:00+00:00,16.169333333333334,92.94333333333333,15.046,0.0,250.0,1.0,4.247333333333334,5.366666666666666,7.933333333333334,,
cavendish,2023-08-01 07:00:00+00:00,15.756333333333334,94.56666666666666,14.904,0.0,218.0,1.0,4.244916666666667,5.6,8.1,,
cavendish,2023-08-01 08:00:00+00:00,15.550999999999998,95.27,14.816666666666666,0.0,243.0,1.2,4.244166666666667,5.266666666666667,7.366666666666666,,
cavendish,2023-08-01 09:00:00+00:00,15.811333333333332,94.64333333333335,14.973,0.0,219.0,11.6,4.281416666666667,6.766666666666667,10.233333333333333,,
cavendish,2023-08-01 10:00:00+00:00,16.461666666666666,92.74,15.302,0.0,254.0,58.93333333333333,4.306666666666667,6.6,9.833333333333334,,
cavendish,2023-08-01 11:00:00+00:00,19.12366666666667,81.81,15.946,0.0,300.0,301.43333333333334,4.314333333333333,7.7,13.0,,
cavendish,2023-08-01 12:00:00+00:00,19.845333333333333,71.96666666666667,14.653333333333332,0.0,284.0,414.26666666666665,4.31225,8.9,14.033333333333333,,
cavendish,2023-08-01 13:00:00+00:00,20.916666666666668,64.07333333333334,13.877666666666666,0.0,303.0,613.8,4.313916666666667,7.833333333333333,13.1,,
cavendish,2023-08-01 14:00:00+00:00,21.268666666666668,60.00333333333333,13.197333333333335,0.0,314.0,674.9333333333333,4.315666666666666,9.3,14.766666666666667,,
cavendish,2023-08-01 15:00:00+00:00,22.348333333333336,52.51,12.173333333333334,0.0,316.0,812.7333333333333,4.319166666666667,9.7,15.866666666666667,,
cavendish,2023-08-01 16:00:00+00:00,22.78166666666667,52.55333333333333,12.572000000000001,0.0,279.0,829.6333333333333,4.321750000000001,11.533333333333333,17.966666666666665,,
cavendish,2023-08-01 17:00:00+00:00,22.831666666666667,53.03,12.774666666666667,0.0,272.0,796.4,4.314666666666667,11.033333333333333,17.933333333333334,,
cavendish,2023-08-01 18:00:00+00:00,23.38533333333333,50.91,12.654666666666666,0.0,265.0,628.7333333333333,4.323083333333334,8.466666666666667,13.933333333333334,,
cavendish,2023-08-01 19:00:00+00:00,23.493333333333332,48.53333333333333,12.026333333333334,0.0,312.0,513.5,4.315916666666666,9.266666666666667,14.6,,
cavendish,2023-08-01 20:00:00+00:00,22.915000000000003,44.24666666666667,10.086,0.0,334.0,379.1333333333333,4.317583333333333,7.5,12.066666666666666,,
