station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_speed_ms,wind_gust_speed_max_kmh
cavendish,2024-03-01 04:00:00+00:00,-11.150666666666666,67.05333333333333,-16.066,0.0,281.0,1.0,4.177833333333333,17.933333333333334,30.033333333333335,,
cavendish,2024-03-01 05:00:00+00:00,-11.942333333333332,82.18333333333334,-14.399666666666667,0.0,309.0,1.0,4.172083333333333,18.666666666666668,31.766666666666666,,
cavendish,2024-03-01 06:00:00+00:00,-12.552333333333333,84.23,-14.691,0.0,298.0,1.0,4.1665,18.6,30.533333333333335,,
cavendish,2024-03-01 07:00:00+00:00,-13.172666666666666,78.81666666666666,-16.088,0.0,302.0,1.0,4.161666666666666,19.0,32.733333333333334,,
cavendish,2024-03-01 08:00:00+00:00,-13.498333333333333,73.43,-17.249666666666666,0.0,303.0,1.0,4.15725,18.966666666666665,33.0,,
cavendish,2024-03-01 09:00:00+00:00,-13.833333333333334,69.64,-18.198666666666668,0.0,292.0,1.0,4.153083333333333,19.733333333333334,33.1,,
cavendish,2024-03-01 10:00:00+00:00,-14.052333333333333,64.15333333333334,-19.361333333333334,0.0,295.0,1.8,4.15825,19.633333333333333,33.4,,
cavendish,2024-03-01 11:00:00+00:00,-14.027,65.25333333333333,-19.138666666666666,0.0,292.0,47.43333333333333,4.292333333333334,19.8,33.96666666666667,,
cavendish,2024-03-01 12:00:00+00:00,-13.488333333333333,66.51333333333334,-18.39966666666667,0.0,295.0,166.56666666666666,4.312916666666667,20.533333333333335,35.7,,
cavendish,2024-03-01 13:00:00+00:00,-13.289,63.57,-18.737333333333332,0.0,289.0,282.8,4.311416666666667,21.133333333333333,34.3,,
cavendish,2024-03-01 14:00:00+00:00,-12.614666666666666,63.059999999999995,-18.190333333333335,0.0,305.0,396.06666666666666,4.310666666666667,21.866666666666667,36.833333333333336,,
cavendish,2024-03-01 15:00:00+00:00,-11.702,62.690000000000005,-17.391000000000002,0.0,286.0,516.5333333333333,4.31175,23.666666666666668,37.06666666666667,,
cavendish,2024-03-01 16:00:00+00:00,-10.91,60.123333333333335,-17.133666666666667,0.0,265.0,478.06666666666666,4.309166666666667,24.1,37.3,,
cavendish,2024-03-01 17:00:00+00:00,-9.881,59.4,-16.302666666666667,0.0,267.0,548.4,4.31325,25.8,39.6,,
cavendish,2024-03-01 18:00:00+00:00,-8.895999999999999,57.61,-15.738666666666665,0.0,256.0,439.43333333333334,4.316833333333333,26.3,39.833333333333336,,
