station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_speed_ms,wind_gust_speed_max_kmh
cavendish,2023-02-01 00:00:00+00:00,-10.589125,80.10041666666666,-13.438166666666666,0.0,327.0,113.05833333333334,4.233145833333333,8.433333333333334,14.5125,,
cavendish,2023-02-02 00:00:00+00:00,-9.89111111111111,73.25520833333333,-13.876354166666665,0.0,229.0,92.96527777777777,4.215777777777777,8.42361111111111,14.322916666666666,,
cavendish,2023-02-03 00:00:00+00:00,-7.345243055555555,80.14305555555556,-10.237604166666666,0.0,187.0,73.06944444444444,4.2170000000000005,18.291666666666668,32.326388888888886,,
cavendish,2023-02-04 00:00:00+00:00,-23.43,70.77743055555555,-27.32774305555556,0.0,309.0,70.60069444444444,4.187177083333333,28.052083333333332,49.72569444444444,,
cavendish,2023-02-05 00:00:00+00:00,-12.090381944444445,72.15729166666667,-16.153784722222223,0.0,296.0,40.482638888888886,4.199263888888889,13.57986111111111,23.37847222222222,,
cavendish,2023-02-06 00:00:00+00:00,-4.159722222222222,92.453125,-5.216145833333333,0.6000000000000001,309.0,37.71875,4.206152777777778,6.826388888888889,10.684027777777779,,
cavendish,2023-02-07 00:00:00+00:00,-5.142361111111111,77.65902777777778,-8.465694444444445,0.0,32.0,72.69097222222223,4.223104166666666,17.166666666666668,31.055555555555557,,
cavendish,2023-02-08 00:00:00+00:00,-3.9124305555555554,84.31354166666667,-6.188993055555556,0.6000000000000001,104.0,55.673611111111114,4.226340277777777,9.645833333333334,15.909722222222221,,
cavendish,2023-02-09 00:00:00+00:00,-6.6281944444444445,64.1392361111111,-12.3984375,0.0,333.0,113.05555555555556,4.234517361111111,14.152777777777779,24.68402777777778,,
cavendish,2023-02-10 00:00:00+00:00,-4.987256944444444,83.90868055555556,-7.441493055555556,0.0,258.0,21.645833333333332,4.224322916666667,8.11111111111111,14.649305555555555,,
cavendish,2023-02-11 00:00:00+00:00,-4.608819444444444,88.22430555555555,-6.295590277777778,0.0,282.0,67.89583333333333,4.234725694444444,14.552083333333334,24.020833333333332,,
cavendish,2023-02-12 00:00:00+00:00,-4.64125,74.33298611111111,-8.628888888888888,0.4,270.0,88.65625,4.231795138888889,10.76736111111111,17.81597222222222,,
cavendish,2023-02-13 00:00:00+00:00,-1.8817361111111113,81.63611111111112,-4.647222222222222,0.2,223.0,70.45833333333333,4.241986111111111,5.166666666666667,10.291666666666666,,
cavendish,2023-02-14 00:00:00+00:00,-3.360798611111111,83.14479166666666,-5.821111111111112,0.0,65.0,47.44444444444444,4.24065625,19.854166666666668,31.62152777777778,,
cavendish,2023-02-15 00:00:00+00:00,-4.455590277777778,78.01041666666667,-7.874270833333333,1.0,1.0,103.23263888888889,4.238069444444445,10.197916666666666,16.336805555555557,,
cavendish,2023-02-16 00:00:00+00:00,5.731770833333333,80.33506944444444,2.4804166666666667,1.2000000000000002,190.0,112.76388888888889,4.247923611111111,17.86111111111111,29.743055555555557,,
cavendish,2023-02-17 00:00:00+00:00,-1.3851041666666668,79.90347222222222,-4.5335069444444445,0.2,272.0,14.434027777777779,4.251166666666666,10.972222222222221,19.79861111111111,,
cavendish,2023-02-18 00:00:00+00:00,-7.032534722222222,88.39722222222223,-8.675347222222221,0.0,27.0,92.22222222222223,4.2409791666666665,16.34375,26.52777777777778,,
cavendish,2023-02-19 00:00:00+00:00,-4.353506944444444,73.14791666666666,-8.518784722222222,0.2,232.0,126.45486111111111,4.2393125000000005,10.600694444444445,17.256944444444443,,
cavendish,2023-02-20 00:00:00+00:00,3.2353125,87.10451388888889,1.2803472222222223,3.4000000000000004,156.0,38.14930555555556,4.244131944444444,16.40972222222222,26.475694444444443,,
cavendish,2023-02-21 00:00:00+00:00,-1.6200694444444443,84.359375,-3.9875347222222226,0.2,239.0,110.57291666666667,4.251520833333334,11.569444444444445,18.70486111111111,,
cavendish,2023-02-22 00:00:00+00:00,-5.473645833333333,79.42743055555555,-8.55048611111111,0.0,66.0,104.39930555555556,4.241232638888889,8.083333333333334,13.989583333333334,,
cavendish,2023-02-23 00:00:00+00:00,-9.987361111111111,69.24236111111111,-14.571458333333332,0.0,345.0,81.42361111111111,4.236729166666667,17.041666666666668,26.28125,,
cavendish,2023-02-24 00:00:00+00:00,-10.555486111111112,82.38333333333334,-13.005972222222221,0.0,1.0,90.26388888888889,4.224770833333333,10.072916666666666,16.635416666666668,,
cavendish,2023-02-25 00:00:00+00:00,-13.96736111111111,69.21458333333334,-18.451909722222222,0.0,6.0,141.68402777777777,4.222961805555555,12.9375,22.06597222222222,,
cavendish,2023-02-26 00:00:00+00:00,-13.198194444444445,65.44340277777778,-18.436631944444443,0.0,192.0,140.81597222222223,4.217864583333333,4.850694444444445,8.03125,,
cavendish,2023-02-27 00:00:00+00:00,-11.942222222222222,73.68819444444445,-15.790763888888888,0.0,49.0,154.49652777777777,4.221597222222222,5.868055555555555,9.197916666666666,,
cavendish,2023-02-28 00:00:00+00:00,-10.25607638888889,71.14444444444445,-14.790486111111111,0.0,337.0,147.14583333333334,4.225604166666667,3.9479166666666665,7.673611111111111,,
cavendish,2023-03-01 00:00:00+00:00,-8.607916666666666,77.92083333333333,-11.773541666666667,0.0,121.0,1.0,4.185958333333333,7.0625,14.125,,
