station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_speed_ms,wind_gust_speed_max_kmh
cavendish,2023-04-01 03:00:00+00:00,-0.9874999999999999,89.44166666666666,-2.5091666666666668,0.0,180.0,1.0,4.215833333333333,12.333333333333334,18.0,,
cavendish,2023-04-01 04:00:00+00:00,-0.9641666666666667,88.575,-2.6166666666666667,0.0,187.0,1.0,4.211166666666666,11.166666666666666,17.166666666666668,,
cavendish,2023-04-01 05:00:00+00:00,-0.61,85.05,-2.813333333333333,0.0,199.0,1.0,4.207583333333333,8.916666666666666,14.666666666666666,,
cavendish,2023-04-01 06:00:00+00:00,-0.5083333333333334,83.56666666666666,-2.9475000000000002,0.0,197.0,1.0,4.2035833333333334,9.583333333333334,15.416666666666666,,
cavendish,2023-04-01 07:00:00+00:00,-0.3741666666666667,83.19166666666668,-2.875,0.0,192.0,1.0,4.2019166666666665,7.916666666666667,12.583333333333334,,
cavendish,2023-04-01 08:00:00+00:00,-0.3775,85.25833333333334,-2.5483333333333333,0.0,187.0,1.0,4.200083333333334,10.416666666666666,14.666666666666666,,
cavendish,2023-04-01 09:00:00+00:00,-0.3741666666666667,85.41666666666667,-2.5216666666666665,0.0,194.0,1.1666666666666667,4.198666666666667,9.25,13.583333333333334,,
cavendish,2023-04-01 10:00:00+00:00,-0.2708333333333333,85.61666666666667,-2.3891666666666667,0.0,195.0,25.333333333333332,4.272833333333334,8.916666666666666,14.25,,
cavendish,2023-04-01 11:00:00+00:00,0.645,83.5,-1.83,0.0,188.0,92.66666666666667,4.3105,10.5,17.083333333333332,,
cavendish,2023-04-01 12:00:00+00:00,1.9483333333333333,77.11666666666666,-1.6408333333333334,0.0,183.0,185.41666666666666,4.309166666666667,11.833333333333334,18.833333333333332,,
cavendish,2023-04-01 13:00:00+00:00,3.0275,72.52499999999999,-1.425,0.2,181.0,290.4166666666667,4.306166666666667,16.083333333333332,25.916666666666668,,
cavendish,2023-04-01 14:00:00+00:00,3.0224999999999995,72.31666666666666,-1.4691666666666665,0.0,171.0,284.5833333333333,4.308583333333333,16.333333333333332,26.333333333333332,,
cavendish,2023-04-01 15:00:00+00:00,2.1341666666666668,76.95833333333333,-1.4858333333333331,0.0,173.0,214.75,4.307416666666667,17.916666666666668,27.833333333333332,,
cavendish,2023-04-01 16:00:00+00:00,1.6358333333333333,85.04166666666667,-0.6141666666666666,0.0,160.0,208.83333333333334,4.303333333333334,18.333333333333332,28.25,,
cavendish,2023-04-01 17:00:00+00:00,1.5258333333333332,89.925,0.049999999999999996,0.2,152.0,181.58333333333334,4.303916666666667,18.666666666666668,30.0,,
