station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh
cavendish,2024-04-01 03:00:00+00:00,0.5429999999999999,71.72333333333333,-3.9679999999999995,0.0,319.0,1.0,4.206166666666667,6.066666666666666,10.166666666666666
cavendish,2024-04-01 04:00:00+00:00,0.6639999999999999,71.36,-3.9196666666666666,0.0,305.0,1.0,4.20125,9.9,16.233333333333334
cavendish,2024-04-01 05:00:00+00:00,0.5846666666666667,71.0,-4.064,0.0,327.0,1.0,4.198166666666666,11.766666666666667,18.133333333333333
cavendish,2024-04-01 06:00:00+00:00,0.502,67.03,-4.907666666666667,0.0,324.0,1.0,4.19575,10.8,17.566666666666666
cavendish,2024-04-01 07:00:00+00:00,0.39366666666666666,69.47666666666667,-4.538666666666667,0.0,323.0,1.0,4.19275,10.3,15.966666666666667
cavendish,2024-04-01 08:00:00+00:00,0.149,73.16000000000001,-4.086,0.0,314.0,1.0,4.191,11.066666666666666,18.733333333333334
cavendish,2024-04-01 09:00:00+00:00,-0.06866666666666667,74.5,-4.056,0.0,306.0,1.1,4.189916666666666,10.833333333333334,17.7
cavendish,2024-04-01 10:00:00+00:00,0.025,76.55,-3.6026666666666665,0.0,326.0,25.3,4.266166666666667,11.533333333333333,18.6
cavendish,2024-04-01 11:00:00+00:00,0.5413333333333333,75.10666666666667,-3.359,0.0,323.0,120.8,4.313916666666667,13.333333333333334,20.433333333333334
cavendish,2024-04-01 12:00:00+00:00,1.2376666666666667,73.25,-3.0170000000000003,0.0,323.0,222.03333333333333,4.311583333333333,13.733333333333333,20.1
cavendish,2024-04-01 13:00:00+00:00,2.2113333333333336,67.49666666666667,-3.1839999999999997,0.0,334.0,451.73333333333335,4.3189166666666665,14.566666666666666,21.766666666666666
cavendish,2024-04-01 14:00:00+00:00,2.8593333333333333,62.71,-3.5473333333333334,0.0,337.0,649.1,4.311,17.3,25.466666666666665
cavendish,2024-04-01 15:00:00+00:00,2.881333333333333,63.983333333333334,-3.2623333333333333,0.0,327.0,724.5,4.31475,19.766666666666666,27.533333333333335
cavendish,2024-04-01 16:00:00+00:00,3.0316666666666667,66.34333333333333,-2.6263333333333336,0.0,358.0,751.9333333333333,4.312166666666667,19.166666666666668,26.866666666666667
cavendish,2024-04-01 17:00:00+00:00,3.2150000000000003,64.9,-2.7476666666666665,0.0,355.0,724.2333333333333,4.308166666666667,17.166666666666668,23.533333333333335
cavendish,2024-04-01 18:00:00+00:00,3.585,64.71666666666667,-2.433333333333333,0.0,344.0,645.5666666666667,4.31325,14.833333333333334,20.533333333333335
cavendish,2024-04-01 19:00:00+00:00,4.169333333333333,60.04,-2.9103333333333334,0.0,347.0,523.1333333333333,4.30825,13.0,17.833333333333332
cavendish,2024-04-01 20:00:00+00:00,4.763333333333334,47.64666666666667,-5.417333333333334,0.0,357.0,365.6666666666667,4.3084999999999996,7.366666666666666,10.733333333333333
cavendish,2024-04-01 21:00:00+00:00,4.721666666666667,45.026666666666664,-6.185999999999999,0.0,7.0,191.06666666666666,4.3116666666666665,3.8,5.666666666666667
cavendish,2024-04-01 22:00:00+00:00,2.103,52.43,-6.718,0.0,0.0,33.06666666666667,4.298,1.1333333333333333,2.1333333333333333
cavendish,2024-04-01 23:00:00+00:00,-0.5579999999999999,62.34666666666667,-6.8709999999999996,0.0,0.0,1.0,4.257499999999999,1.0,2.066666666666667
cavendish,2024-04-02 00:00:00+00:00,-1.706,67.33,-6.978,0.0,0.0,1.0,4.237333333333333,0.43333333333333335,1.2666666666666666
cavendish,2024-04-02 01:00:00+00:00,-2.1606666666666663,76.55666666666666,-5.732,0.0,0.0,1.0,4.223583333333333,0.5,1.3333333333333333
cavendish,2024-04-02 02:00:00+00:00,-2.403,84.65333333333334,-4.638333333333334,0.0,0.0,1.0,4.2135,0.8333333333333334,1.6
cavendish,2024-04-02 03:00:00+00:00,-2.9136666666666664,87.24666666666667,-4.741,0.0,330.0,1.0,4.204583333333333,1.5666666666666667,2.2666666666666666
cavendish,2024-04-02 04:00:00+00:00,-2.1683333333333334,87.08666666666666,-4.03,0.0,227.0,1.0,4.198833333333334,5.466666666666667,6.966666666666667
cavendish,2024-04-02 05:00:00+00:00,-1.8103333333333333,83.18,-4.291333333333333,0.0,236.0,1.0,4.1946666666666665,5.133333333333334,6.4
cavendish,2024-04-02 06:00:00+00:00,-1.6159999999999999,79.08666666666666,-4.7669999999999995,0.0,236.0,1.0,4.191083333333333,5.2,6.933333333333334
cavendish,2024-04-02 07:00:00+00:00,-1.5363333333333336,76.40666666666667,-5.145333333333334,0.0,240.0,1.0,4.188166666666667,5.7,7.6
cavendish,2024-04-02 08:00:00+00:00,-1.569,75.26666666666667,-5.375,0.0,253.0,1.0,4.18425,6.166666666666667,8.0
cavendish,2024-04-02 09:00:00+00:00,-1.6576666666666666,79.30666666666666,-4.772,0.0,272.0,1.7333333333333334,4.1875,6.0,8.133333333333333
cavendish,2024-04-02 10:00:00+00:00,-0.19166666666666668,81.68666666666667,-2.9433333333333334,0.0,296.0,46.233333333333334,4.287583333333333,7.233333333333333,12.233333333333333
cavendish,2024-04-02 11:00:00+00:00,1.0426666666666666,83.16333333333334,-1.494,0.0,324.0,148.2,4.3155833333333335,11.166666666666666,17.533333333333335
cavendish,2024-04-02 12:00:00+00:00,1.4553333333333331,83.37666666666668,-1.054,0.0,324.0,190.9,4.310583333333334,11.533333333333333,17.566666666666666
cavendish,2024-04-02 13:00:00+00:00,1.9866666666666668,80.64666666666668,-0.9886666666666667,0.0,341.0,269.76666666666665,4.313416666666667,14.433333333333334,20.6
cavendish,2024-04-02 14:00:00+00:00,1.71,81.14666666666668,-1.1766666666666665,0.0,331.0,210.53333333333333,4.312666666666667,14.433333333333334,19.533333333333335
cavendish,2024-04-02 15:00:00+00:00,0.6996666666666667,90.09333333333333,-0.751,0.0,0.0,176.16666666666666,4.3109166666666665,13.833333333333334,18.533333333333335
cavendish,2024-04-02 16:00:00+00:00,0.302,95.10333333333332,-0.393,0.2,358.0,166.4,4.31125,13.0,17.5
cavendish,2024-04-02 17:00:00+00:00,0.32066666666666666,96.16666666666667,-0.22266666666666665,0.2,14.0,187.6,4.30975,16.5,22.066666666666666
cavendish,2024-04-02 18:00:00+00:00,0.41333333333333333,96.84666666666666,-0.032,0.0,3.0,175.6,4.310416666666667,16.933333333333334,22.633333333333333
cavendish,2024-04-02 19:00:00+00:00,0.4983333333333333,97.25333333333333,0.111,0.0,8.0,134.46666666666667,4.309,16.466666666666665,21.733333333333334
cavendish,2024-04-02 20:00:00+00:00,0.156,97.65333333333334,-0.175,0.0,10.0,59.233333333333334,4.306583333333333,14.3,19.466666666666665
cavendish,2024-04-02 21:00:00+00:00,0.14433333333333334,98.03,-0.13333333333333333,0.0,13.0,28.666666666666668,4.308166666666667,11.233333333333333,15.533333333333333
cavendish,2024-04-02 22:00:00+00:00,0.09333333333333334,98.3,-0.147,0.0,11.0,4.633333333333334,4.284833333333333,8.8,13.033333333333333
cavendish,2024-04-02 23:00:00+00:00,0.096,98.58333333333333,-0.10600000000000001,0.0,24.0,1.0,4.2455,7.766666666666667,12.3
cavendish,2024-04-03 00:00:00+00:00,0.09266666666666667,98.76,-0.08533333333333333,0.0,29.0,1.0,4.224916666666666,8.3,13.3
cavendish,2024-04-03 01:00:00+00:00,0.014000000000000002,98.78666666666666,-0.16233333333333333,0.0,41.0,1.0,4.215083333333333,7.766666666666667,12.6
cavendish,2024-04-03 02:00:00+00:00,-0.046,98.70666666666666,-0.232,0.0,44.0,1.0,4.208083333333334,8.4,14.066666666666666
cavendish,2024-04-03 03:00:00+00:00,-0.24233333333333335,98.26,-0.489,0.0,35.0,1.0,4.202583333333333,9.666666666666666,15.666666666666666
cavendish,2024-04-03 04:00:00+00:00,-0.38166666666666665,97.89666666666668,-0.6763333333333333,0.0,46.0,1.0,4.197333333333333,7.7,13.1
cavendish,2024-04-03 05:00:00+00:00,-0.279,97.65,-0.6096666666666667,0.0,44.0,1.0,4.1939166666666665,7.766666666666667,13.433333333333334
cavendish,2024-04-03 06:00:00+00:00,-0.19933333333333333,97.21666666666667,-0.59,0.0,39.0,1.0,4.1907499999999995,11.8,19.466666666666665
cavendish,2024-04-03 07:00:00+00:00,-0.10200000000000001,96.65,-0.575,0.0,41.0,1.0,4.189166666666667,12.966666666666667,21.0
cavendish,2024-04-03 08:00:00+00:00,-0.13133333333333333,96.67666666666668,-0.5986666666666667,0.0,48.0,1.0,4.186583333333333,13.766666666666667,23.133333333333333
cavendish,2024-04-03 09:00:00+00:00,-0.14500000000000002,96.41333333333334,-0.6516666666666667,0.0,53.0,1.5,4.189416666666666,14.4,24.3
cavendish,2024-04-03 10:00:00+00:00,-0.09766666666666667,96.55,-0.5833333333333334,0.0,52.0,37.7,4.278,15.266666666666667,25.566666666666666
cavendish,2024-04-03 11:00:00+00:00,0.2653333333333333,96.14666666666668,-0.2793333333333334,0.0,51.0,97.9,4.31975,13.533333333333333,22.366666666666667
cavendish,2024-04-03 12:00:00+00:00,0.679,94.16000000000001,-0.15633333333333335,0.0,45.0,128.6,4.317666666666667,12.7,21.466666666666665
cavendish,2024-04-03 13:00:00+00:00,1.4406666666666665,91.20333333333333,0.16033333333333333,0.0,59.0,303.8666666666667,4.315083333333333,12.766666666666667,21.333333333333332
cavendish,2024-04-03 14:00:00+00:00,2.6263333333333336,88.22,0.8733333333333333,0.0,60.0,646.4,4.314333333333333,13.066666666666666,22.433333333333334
cavendish,2024-04-03 15:00:00+00:00,2.4856666666666665,85.28999999999999,0.26666666666666666,0.0,70.0,723.2666666666667,4.3140833333333335,17.3,26.533333333333335
cavendish,2024-04-03 16:00:00+00:00,2.9753333333333334,82.58333333333333,0.30533333333333335,0.0,48.0,757.8,4.316166666666667,15.7,24.033333333333335
cavendish,2024-04-03 17:00:00+00:00,2.815,82.95333333333333,0.20933333333333334,0.0,51.0,690.7666666666667,4.312833333333333,16.566666666666666,25.066666666666666
cavendish,2024-04-03 18:00:00+00:00,2.954333333333333,80.1,-0.13633333333333333,0.0,45.0,652.8666666666667,4.313,16.033333333333335,24.0
cavendish,2024-04-03 19:00:00+00:00,2.8333333333333335,79.92666666666668,-0.28500000000000003,0.0,46.0,524.9666666666667,4.3116666666666665,16.0,25.966666666666665
cavendish,2024-04-03 20:00:00+00:00,2.4203333333333332,80.32666666666667,-0.6183333333333334,0.0,55.0,361.0,4.311,13.533333333333333,21.533333333333335
cavendish,2024-04-03 21:00:00+00:00,1.6296666666666666,82.68333333333334,-0.9973333333333333,0.0,49.0,193.63333333333333,4.310333333333333,11.3,18.366666666666667
cavendish,2024-04-03 22:00:00+00:00,0.16599999999999998,87.22,-1.7116666666666667,0.0,48.0,36.1,4.30275,9.8,16.3
cavendish,2024-04-03 23:00:00+00:00,-0.5046666666666667,90.23666666666666,-1.9093333333333333,0.0,44.0,1.0,4.256166666666666,11.633333333333333,18.6
cavendish,2024-04-04 00:00:00+00:00,-0.5266666666666667,90.48666666666666,-1.8936666666666668,0.0,44.0,1.0,4.23625,12.2,19.7
cavendish,2024-04-04 01:00:00+00:00,-0.43033333333333335,90.30666666666666,-1.8263333333333334,0.0,48.0,1.0,4.2242500000000005,8.666666666666666,15.2
cavendish,2024-04-04 02:00:00+00:00,0.11233333333333334,88.18,-1.6099999999999999,0.0,49.0,1.0,4.21625,8.566666666666666,14.333333333333334
cavendish,2024-04-04 03:00:00+00:00,0.213,88.72,-1.4306666666666668,0.0,56.0,1.0,4.209833333333333,8.133333333333333,14.4
cavendish,2024-04-04 04:00:00+00:00,0.08,89.64666666666668,-1.4193333333333333,0.0,65.0,1.0,4.2045,9.0,15.166666666666666
cavendish,2024-04-04 05:00:00+00:00,-0.425,92.32333333333332,-1.5203333333333333,0.0,62.0,1.0,4.199,7.366666666666666,13.166666666666666
cavendish,2024-04-04 06:00:00+00:00,-0.44433333333333336,94.10666666666665,-1.2796666666666667,0.0,67.0,1.0,4.195666666666667,7.366666666666666,13.4
cavendish,2024-04-04 07:00:00+00:00,-0.397,94.33666666666666,-1.199,0.0,79.0,1.0,4.191999999999999,9.8,17.366666666666667
cavendish,2024-04-04 08:00:00+00:00,-0.32266666666666666,93.58666666666666,-1.2336666666666667,0.0,83.0,1.0,4.18975,10.333333333333334,17.533333333333335
cavendish,2024-04-04 09:00:00+00:00,-0.089,91.54666666666667,-1.3026666666666666,0.0,93.0,4.433333333333334,4.198083333333334,11.666666666666666,19.733333333333334
cavendish,2024-04-04 10:00:00+00:00,0.31133333333333335,90.02666666666667,-1.135,0.0,81.0,35.56666666666667,4.295166666666667,14.7,25.833333333333332
cavendish,2024-04-04 11:00:00+00:00,0.6573333333333333,88.08666666666666,-1.089,0.0,80.0,87.8,4.3175,15.233333333333333,26.3
cavendish,2024-04-04 12:00:00+00:00,0.8233333333333334,88.00666666666666,-0.9380000000000001,0.0,90.0,100.2,4.3181666666666665,14.933333333333334,26.066666666666666
cavendish,2024-04-04 13:00:00+00:00,1.4493333333333331,88.11333333333333,-0.30366666666666664,0.0,90.0,221.43333333333334,4.3148333333333335,14.8,26.2
cavendish,2024-04-04 14:00:00+00:00,1.9613333333333332,87.28999999999999,0.07166666666666668,0.0,87.0,310.3,4.313666666666667,16.033333333333335,28.733333333333334
cavendish,2024-04-04 15:00:00+00:00,2.3363333333333336,86.17,0.262,0.0,104.0,340.3,4.31375,16.333333333333332,27.366666666666667
cavendish,2024-04-04 16:00:00+00:00,1.7676666666666667,88.13666666666667,0.014666666666666668,0.0,87.0,199.73333333333332,4.31175,16.1,27.866666666666667
cavendish,2024-04-04 17:00:00+00:00,1.755,88.51666666666667,0.061000000000000006,0.0,86.0,140.26666666666668,4.312583333333333,15.166666666666666,25.4
cavendish,2024-04-04 18:00:00+00:00,1.8906666666666667,88.45333333333333,0.18566666666666667,0.0,88.0,114.43333333333334,4.311916666666667,13.766666666666667,23.933333333333334
cavendish,2024-04-04 19:00:00+00:00,1.6856666666666666,90.09333333333333,0.23433333333333334,0.0,83.0,51.56666666666667,4.31225,14.0,25.266666666666666
cavendish,2024-04-04 20:00:00+00:00,1.4556666666666667,92.75666666666666,0.4096666666666666,0.2,91.0,25.933333333333334,4.30975,14.833333333333334,26.7
