station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh,wind_speed_ms,wind_gust_speed_max_kmh
cavendish,2024-12-01 04:00:00+00:00,-0.5483333333333333,84.58333333333333,-2.8256666666666663,0.0,271.0,1.0,4.16475,10.8,16.033333333333335,,
cavendish,2024-12-01 05:00:00+00:00,-0.7986666666666667,84.34333333333333,-3.109,0.0,254.0,1.0,4.162166666666667,11.266666666666667,15.966666666666667,,
cavendish,2024-12-01 06:00:00+00:00,-0.9306666666666668,83.4,-3.391,0.0,270.0,1.0,4.158833333333333,12.533333333333333,18.866666666666667,,
cavendish,2024-12-01 07:00:00+00:00,-1.0133333333333332,83.93333333333334,-3.3866666666666663,0.0,265.0,1.0,4.158083333333333,10.833333333333334,15.933333333333334,,
cavendish,2024-12-01 08:00:00+00:00,-1.5023333333333333,85.95333333333333,-3.55,0.0,260.0,1.0,4.156666666666667,9.0,13.4,,
cavendish,2024-12-01 09:00:00+00:00,-0.9303333333333333,80.32,-3.8946666666666667,0.0,270.0,1.0,4.155666666666667,10.566666666666666,16.433333333333334,,
cavendish,2024-12-01 10:00:00+00:00,-1.7833333333333334,82.85333333333332,-4.316333333333334,0.0,230.0,1.0,4.153833333333333,5.966666666666667,9.933333333333334,,
cavendish,2024-12-01 11:00:00+00:00,-1.901,85.79666666666667,-3.9656666666666665,0.0,220.0,3.8666666666666667,4.1895,6.3,10.7,,
cavendish,2024-12-01 12:00:00+00:00,-0.862,84.65666666666667,-3.1256666666666666,0.0,220.0,63.666666666666664,4.313166666666667,6.266666666666667,10.566666666666666,,
cavendish,2024-12-01 13:00:00+00:00,0.6766666666666666,80.72666666666667,-2.2543333333333333,0.0,247.0,174.0,4.314666666666667,11.5,17.7,,
cavendish,2024-12-01 14:00:00+00:00,1.3123333333333334,77.26333333333334,-2.231,0.0,260.0,275.3333333333333,4.3165000000000004,15.033333333333333,22.566666666666666,,
cavendish,2024-12-01 15:00:00+00:00,2.039,70.83333333333333,-2.7060000000000004,0.0,263.0,347.03333333333336,4.30925,16.6,25.066666666666666,,
cavendish,2024-12-01 16:00:00+00:00,2.812,61.34,-3.8883333333333336,0.0,284.0,344.1666666666667,4.3187500000000005,18.2,28.166666666666668,,
cavendish,2024-12-01 17:00:00+00:00,2.332666666666667,61.89333333333333,-4.2203333333333335,0.0,260.0,195.46666666666667,4.3095,18.133333333333333,27.233333333333334,,
cavendish,2024-12-01 18:00:00+00:00,3.053,61.16,-3.694666666666667,0.0,260.0,232.0,4.309583333333333,15.766666666666667,23.233333333333334,,
