station,timestamp_utc,check_type,variable,original_value,action,rule
stanhope,2024-12-09T15:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-01-21T11:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-01-21T15:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-01-22T16:00:00+00:00,cross_variable,rain_mm,0.3,set_nan,CV_rain_rh
stanhope,2025-01-23T12:00:00+00:00,cross_variable,rain_mm,1.4,set_nan,CV_rain_rh
stanhope,2025-01-23T13:00:00+00:00,cross_variable,rain_mm,0.5,set_nan,CV_rain_rh
stanhope,2025-01-24T14:00:00+00:00,cross_variable,rain_mm,0.7,set_nan,CV_rain_rh
stanhope,2025-01-24T15:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-01-30T22:00:00+00:00,cross_variable,rain_mm,1.4,set_nan,CV_rain_rh
stanhope,2025-02-04T11:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-02-04T12:00:00+00:00,cross_variable,rain_mm,0.6,set_nan,CV_rain_rh
stanhope,2025-02-09T22:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-03-13T16:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-03-23T23:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-04-15T14:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-04-21T15:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-10-01T10:00:00+00:00,cross_variable,rain_mm,7.2,set_nan,CV_rain_rh
stanhope,2025-10-01T14:00:00+00:00,cross_variable,rain_mm,0.5,set_nan,CV_rain_rh
stanhope,2025-10-01T15:00:00+00:00,cross_variable,rain_mm,0.4,set_nan,CV_rain_rh
stanhope,2025-10-02T01:00:00+00:00,cross_variable,rain_mm,1.2,set_nan,CV_rain_rh
stanhope,2025-12-06T13:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-12-09T15:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2025-12-23T13:00:00+00:00,cross_variable,rain_mm,0.2,set_nan,CV_rain_rh
stanhope,2024-04-06T08:00:00+00:00,flatline,air_temperature_c,0.9,flag_only,FL_air_temperature_c
stanhope,2023-04-02T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-02T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-02T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-02T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-02T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-17T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-17T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-17T09:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-19T23:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-20T00:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-20T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
