station,hourly_rows,daily_rows,date_range_start,date_range_end,completeness,missing_pct_air_temperature_c,missing_pct_air_temperature_c_qf,missing_pct_bui,missing_pct_bui_qf,missing_pct_dc,missing_pct_dc_qf,missing_pct_dew_point_c,missing_pct_dmc,missing_pct_dmc_qf,missing_pct_ffmc,missing_pct_ffmc_qf,missing_pct_fwi,missing_pct_fwi_qf,missing_pct_isi,missing_pct_isi_qf,missing_pct_rain_mm,missing_pct_rain_mm_qf,missing_pct_relative_humidity_pct,missing_pct_relative_humidity_pct_qf,missing_pct_solar_radiation_w_m2,missing_pct_wind_direction_deg,missing_pct_wind_speed_kmh,missing_pct_wind_speed_kmh_qf,missing_pct_Hmdx,missing_pct_Visibility (km),missing_pct_Wind Chill,missing_pct_barometric_pressure_kpa,duplicate_count,out_of_range_temp_count,out_of_range_rh_count,out_of_range_wind_count,quality_enforced_count,quality_flagged_count,out_of_range_pre_enforcement,out_of_range_post_enforcement,fwi_chain_breaks
,0,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
stanhope,24144,1006,2023-04-01 00:00:00+00:00,2025-12-31 23:00:00+00:00,0.4451,0.32,100.0,4.55,100.0,3.69,100.0,0.28,4.39,100.0,4.39,100.0,4.55,100.0,4.39,100.0,0.19,100.0,0.33,100.0,100.0,2.14,0.28,100.0,88.77,100.0,79.88,100.0,0,0,0,0,0,0,0,0,0
