station,timestamp_utc,rain_mm,wind_direction_deg,solar_radiation_w_m2,air_temperature_c
stanley_bridge,2026-01-01 04:00:00+00:00,0.0,89.85098039215686,0.625,-5.4951337771946305
stanley_bridge,2026-01-01 05:00:00+00:00,0.0,272.3607843137255,0.625,-5.770716109794431
stanley_bridge,2026-01-01 06:00:00+00:00,0.0,272.3607843137255,0.625,-6.217539066353103
stanley_bridge,2026-01-01 07:00:00+00:00,0.0,140.39215686274508,0.625,-6.540960237137086
stanley_bridge,2026-01-01 08:00:00+00:00,0.0,140.39215686274508,0.625,-6.301259288422455
stanley_bridge,2026-01-01 09:00:00+00:00,0.0,140.39215686274508,0.625,-7.02608079077373
stanley_bridge,2026-01-01 10:00:00+00:00,0.0,140.39215686274508,0.625,-7.988963220376238
stanley_bridge,2026-01-01 11:00:00+00:00,0.0,140.39215686274508,1.7916666666666667,-7.843666695430214
stanley_bridge,2026-01-01 12:00:00+00:00,0.0,140.39215686274508,18.75,-4.892060746902645
stanley_bridge,2026-01-01 13:00:00+00:00,0.0,113.71764705882352,53.375,-1.9779275752412195
stanley_bridge,2026-01-01 14:00:00+00:00,0.0,103.8901960784314,181.45833333333334,-0.31872487518064363
stanley_bridge,2026-01-01 15:00:00+00:00,0.0,117.92941176470588,134.58333333333334,0.8721129149961461
stanley_bridge,2026-01-01 16:00:00+00:00,0.0,123.54509803921567,96.08333333333333,1.2240374289754319
stanley_bridge,2026-01-01 17:00:00+00:00,0.0,123.54509803921567,79.54166666666667,1.460492912998763
stanley_bridge,2026-01-01 18:00:00+00:00,0.0,119.33333333333331,80.83333333333333,1.8587562274369966
stanley_bridge,2026-01-01 19:00:00+00:00,0.0,109.5058823529412,39.625,1.9791021115906067
stanley_bridge,2026-01-01 20:00:00+00:00,0.0,122.14117647058823,9.375,2.0645117294450674
stanley_bridge,2026-01-01 21:00:00+00:00,0.0,116.52549019607844,0.625,1.990825606733931
stanley_bridge,2026-01-01 22:00:00+00:00,0.0,92.65882352941178,0.625,1.3674967212871265
stanley_bridge,2026-01-01 23:00:00+00:00,0.0,60.3686274509804,0.625,0.6121037857106856
stanley_bridge,2026-01-02 00:00:00+00:00,0.0,64.58039215686274,0.625,0.31760111175457506
stanley_bridge,2026-01-02 01:00:00+00:00,0.0,53.34901960784314,0.625,0.45208079478455027
stanley_bridge,2026-01-02 02:00:00+00:00,0.0,95.46666666666668,0.625,0.8703534195721384
stanley_bridge,2026-01-02 03:00:00+00:00,0.0,110.90980392156862,0.625,1.2703501902394412
stanley_bridge,2026-01-02 04:00:00+00:00,0.0,115.12156862745098,0.625,1.4209238496587626
stanley_bridge,2026-01-02 05:00:00+00:00,1.400341796875,154.4313725490196,0.625,1.1129317378826011
stanley_bridge,2026-01-02 06:00:00+00:00,0.200048828125,151.6235294117647,0.625,0.6509854969770108
stanley_bridge,2026-01-02 07:00:00+00:00,0.0,197.9529411764706,0.625,-1.076252902875172
