station,timestamp_utc,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,air_temperature_c,wind_speed_ms,wind_gust_speed_max_kmh,ffmc,dmc,dc,isi,bui,fwi
stanley_bridge,2023-07-25 10:00:00+00:00,0.0,178.0,801.4615384615385,4.30925,27.349,4.93076923076923,8.7,,,,,,
stanley_bridge,2023-07-25 15:00:00+00:00,0.0,178.0,801.4615384615385,4.299,27.349,4.93076923076923,8.7,,,,,,
stanley_bridge,2023-07-25 16:00:00+00:00,0.0,178.0,808.7,4.315416666666667,27.349,5.02,9.4,,,,,,
stanley_bridge,2023-07-25 17:00:00+00:00,0.0,174.0,537.2,4.316833333333333,27.349,5.833333333333333,10.4,,,,,,
stanley_bridge,2023-07-25 18:00:00+00:00,0.0,188.0,699.4333333333333,4.3187500000000005,27.349,6.133333333333334,11.0,,,,,,
stanley_bridge,2023-07-25 19:00:00+00:00,0.0,187.0,587.2,4.3135,27.349,6.506666666666666,11.7,,,,,,
stanley_bridge,2023-07-25 20:00:00+00:00,0.0,187.0,452.8666666666667,4.314166666666667,27.349,6.3966666666666665,11.7,,,,,,
stanley_bridge,2023-07-25 21:00:00+00:00,0.0,192.0,296.8333333333333,4.31975,27.349,7.211764705882353,12.7,,,,,,
stanley_bridge,2023-07-25 22:00:00+00:00,0.0,199.0,145.23333333333332,4.308916666666667,26.495,,,,,,,,
stanley_bridge,2023-07-25 23:00:00+00:00,0.0,201.0,17.233333333333334,4.294833333333334,24.556,,,,,,,,
stanley_bridge,2023-07-26 00:00:00+00:00,0.0,168.0,1.0333333333333334,4.273499999999999,22.98,,,,,,,,
stanley_bridge,2023-07-26 01:00:00+00:00,0.0,180.0,1.0,4.263416666666667,22.538666666666664,,,,,,,,
stanley_bridge,2023-07-26 02:00:00+00:00,0.0,183.0,1.0,4.257833333333333,22.09733333333333,,,,,,,,
stanley_bridge,2023-07-26 03:00:00+00:00,0.0,190.0,1.0,4.25275,21.656,,,,,,,,
stanley_bridge,2023-07-26 04:00:00+00:00,0.0,192.0,1.0,4.2491666666666665,21.214666666666663,,,,,,,,
stanley_bridge,2023-07-26 05:00:00+00:00,0.0,185.0,1.0,4.247,20.561,,,,,,,,
stanley_bridge,2023-07-26 06:00:00+00:00,0.0,187.0,1.0,4.244833333333333,20.217666666666663,,,,,,,,
stanley_bridge,2023-07-26 07:00:00+00:00,0.0,185.0,1.0,4.241583333333334,20.044666666666668,,,,,,,,
stanley_bridge,2023-07-26 08:00:00+00:00,0.0,185.0,1.2333333333333334,4.241333333333333,19.939833333333333,,,,,,,,
stanley_bridge,2023-07-26 09:00:00+00:00,0.0,181.0,22.3,4.279333333333333,19.835,,,,,,,,
stanley_bridge,2023-07-26 10:00:00+00:00,0.0,185.0,48.53333333333333,4.299916666666667,20.099666666666668,,,,,,,,
stanley_bridge,2023-07-26 11:00:00+00:00,0.0,202.0,101.76666666666668,4.31,20.53,,,,,,,,
stanley_bridge,2023-07-26 12:00:00+00:00,5.8,201.0,73.03333333333333,4.308916666666667,19.83933333333333,,,,,,,,
stanley_bridge,2023-07-26 13:00:00+00:00,2.4000000000000004,181.0,126.8,4.311333333333333,20.356166666666667,,,,,,,,
stanley_bridge,2023-07-26 14:00:00+00:00,0.0,180.0,173.76666666666668,4.311,20.873,,,,,,,,
stanley_bridge,2023-07-26 15:00:00+00:00,0.0,178.0,491.4333333333333,4.315166666666666,22.274444444444445,,,,,,,,
stanley_bridge,2023-07-26 16:00:00+00:00,0.0,171.0,693.4333333333333,4.3155,23.67588888888889,,,,,,,,
stanley_bridge,2023-07-26 17:00:00+00:00,0.0,215.0,540.0,4.313166666666667,25.077333333333332,,,,,,,,
stanley_bridge,2023-07-26 18:00:00+00:00,0.0,209.0,709.8333333333334,4.314166666666666,26.067,,,,,,,,
stanley_bridge,2023-07-26 19:00:00+00:00,0.0,202.0,597.6,4.318083333333333,27.05666666666667,,,,,,,,
stanley_bridge,2023-07-26 20:00:00+00:00,0.0,190.0,447.8,4.318666666666666,26.991666666666667,,,,,,,,
stanley_bridge,2023-07-26 21:00:00+00:00,0.0,187.0,286.43333333333334,4.316583333333333,26.92666666666667,,,,,,,,
stanley_bridge,2023-07-26 22:00:00+00:00,0.0,195.0,138.6,4.3075,26.217666666666663,,,,,,,,
stanley_bridge,2023-07-26 23:00:00+00:00,0.0,188.0,22.566666666666663,4.297833333333333,24.121666666666663,,,,,,,,
stanley_bridge,2023-07-27 00:00:00+00:00,0.0,180.0,1.0,4.275416666666667,22.588666666666665,,,,,,,,
stanley_bridge,2023-07-27 01:00:00+00:00,0.0,183.0,1.0,4.264583333333333,21.784499999999998,,,,,,,,
stanley_bridge,2023-07-27 02:00:00+00:00,0.0,174.0,1.0,4.2585,20.98033333333333,,,,,,,,
stanley_bridge,2023-07-27 03:00:00+00:00,0.0,170.0,1.0,4.254083333333333,20.934666666666665,,,,,,,,
stanley_bridge,2023-07-27 04:00:00+00:00,0.0,175.0,1.0,4.2505,20.423333333333336,,,,,,,,
stanley_bridge,2023-07-27 05:00:00+00:00,0.0,177.0,1.0,4.247166666666667,19.882,,,,,,,,
stanley_bridge,2023-07-27 06:00:00+00:00,0.0,187.0,1.0,4.2450833333333335,19.705111111111112,,,,,,,,
stanley_bridge,2023-07-27 07:00:00+00:00,0.0,187.0,1.0,4.2435,19.528222222222222,,,,,,,,
stanley_bridge,2023-07-27 08:00:00+00:00,0.0,180.0,1.7333333333333334,4.242249999999999,19.351333333333333,,,,,,,,
stanley_bridge,2023-07-27 09:00:00+00:00,0.0,175.0,39.53333333333333,4.291166666666666,20.096416666666666,,,,,,,,
stanley_bridge,2023-07-27 10:00:00+00:00,0.0,180.0,103.9,4.307416666666667,20.8415,,,,,,,,
