station,timestamp_utc,battery_v,rain_mm,wind_direction_deg,solar_radiation_w_m2,air_temperature_c
stanley_bridge,2024-08-01 00:00:00+00:00,4.296083333333334,1.2000000000000002,173.0,196.75396825396825,24.599968253968253
stanley_bridge,2024-08-02 00:00:00+00:00,4.293097222222222,0.0,195.0,270.4458333333333,23.864944444444443
stanley_bridge,2024-08-03 00:00:00+00:00,4.294013888888888,0.0,117.0,160.8539638386648,25.09188888888889
stanley_bridge,2024-08-04 00:00:00+00:00,4.292902777777778,0.0,163.0,165.55,24.620250000000002
stanley_bridge,2024-08-05 00:00:00+00:00,4.2929305555555555,0.2,168.0,209.37047353760445,23.032750000000004
stanley_bridge,2024-08-06 00:00:00+00:00,4.2928854166666675,5.6000000000000005,167.0,191.34444444444443,20.265138888888888
stanley_bridge,2024-08-07 00:00:00+00:00,4.292017361111111,0.0,181.0,259.40416666666664,20.17151388888889
stanley_bridge,2024-08-08 00:00:00+00:00,4.292138888888889,0.0,296.0,277.5625,19.982444444444447
stanley_bridge,2024-08-09 00:00:00+00:00,4.292479166666666,1.6,147.0,103.63333333333334,19.122333333333334
stanley_bridge,2024-08-10 00:00:00+00:00,4.290649305555555,7.2,145.0,92.6625,21.764944444444446
stanley_bridge,2024-08-11 00:00:00+00:00,4.292892361111111,0.0,183.0,268.6902777777778,22.71090277777778
stanley_bridge,2024-08-12 00:00:00+00:00,4.291173611111111,0.0,166.0,226.97079276773297,21.39575
stanley_bridge,2024-08-13 00:00:00+00:00,4.291711805555555,0.0,188.0,215.50972222222222,19.49738888888889
stanley_bridge,2024-08-14 00:00:00+00:00,4.290055555555556,0.0,348.0,222.87168758716876,19.467833333333335
stanley_bridge,2024-08-15 00:00:00+00:00,4.289246527777778,0.0,76.0,242.25694444444446,17.583791666666666
stanley_bridge,2024-08-16 00:00:00+00:00,4.291017361111112,0.0,131.0,219.9013888888889,20.866444444444443
stanley_bridge,2024-08-17 00:00:00+00:00,4.292704861111111,0.0,146.0,235.63472222222222,21.65111111111111
stanley_bridge,2024-08-18 00:00:00+00:00,4.291725694444445,0.0,185.0,218.70694444444445,19.719430555555554
stanley_bridge,2024-08-19 00:00:00+00:00,4.291607638888888,3.8000000000000003,153.0,150.2966573816156,21.787125
stanley_bridge,2024-08-20 00:00:00+00:00,4.292249999999999,0.2,110.0,166.07810320781033,23.673861111111112
stanley_bridge,2024-08-21 00:00:00+00:00,4.294534722222222,3.4,199.0,62.979166666666664,20.393124999999998
stanley_bridge,2024-08-22 00:00:00+00:00,4.292819444444444,0.4,22.0,246.11388888888888,20.73
stanley_bridge,2024-08-23 00:00:00+00:00,4.293916666666666,0.0,157.0,169.8983286908078,19.18263888888889
stanley_bridge,2024-08-24 00:00:00+00:00,4.291513888888889,0.0,170.0,248.33055555555555,21.244222222222223
stanley_bridge,2024-08-25 00:00:00+00:00,4.29325,0.0,170.0,236.45138888888889,23.289027777777775
stanley_bridge,2024-08-26 00:00:00+00:00,4.29178125,0.0,122.0,173.80972222222223,22.496861111111112
stanley_bridge,2024-08-27 00:00:00+00:00,4.292381944444444,0.0,145.0,239.56944444444446,22.331791666666668
stanley_bridge,2024-08-28 00:00:00+00:00,4.291024305555556,9.4,180.0,65.05694444444444,19.044125
stanley_bridge,2024-08-29 00:00:00+00:00,4.290965277777778,0.0,309.0,197.41912798874824,17.409277777777778
stanley_bridge,2024-08-30 00:00:00+00:00,4.288180555555556,0.0,7.0,246.79305555555555,16.792055555555557
stanley_bridge,2024-08-31 00:00:00+00:00,4.290416666666667,0.0,159.0,246.22083333333333,18.183375
stanley_bridge,2024-09-01 00:00:00+00:00,4.268277777777778,0.0,177.0,1.0,18.345444444444443
